Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,"60,168","55,018",846,"11,567","1,828","2,532","1,560","3,502","1,066","1,095",661,"14,194","3,109",3,3,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,"60,717","55,732",865,"11,961","1,941","2,565","1,530","3,706","1,036","1,093",664,"13,907","3,185",0,0,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,"59,358","54,522",830,"11,704","1,819","2,490","1,486","3,526",993,"1,123",643,"13,589","3,257",3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,"59,149","54,406",829,"11,880","1,861","2,516","1,487","3,399",978,"1,109",684,"13,603","3,181",1,1,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,"58,819","54,004",812,"11,962","1,827","2,477","1,418","3,313",980,"1,072",654,"13,457","3,080",0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,"59,454","54,397",812,"11,706","1,954","2,513","1,463","3,412",973,"1,136",638,"13,992","3,054",2,1,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,"58,798","53,964",798,"11,808","1,842","2,535","1,515","3,479",978,"1,070",649,"13,635","3,086",0,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,"58,884","53,989",782,"11,780","1,878","2,515","1,462","3,451",967,"1,056",649,"13,624","3,082",5,5,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,"59,319","54,308",819,"11,792","1,829","2,519","1,507","3,457","1,011","1,092",714,"13,704","3,122",10,9,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,"59,700","54,401",813,"11,714","1,860","2,508","1,609","3,468","1,004","1,072",697,"13,687","3,093",36,32,,,,,,,,,,,,,,,
United States,2020,11,2020-03-14,"58,660","53,531",759,"11,572","1,741","2,440","1,638","3,387",991,"1,077",692,"13,430","3,164",57,53,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,"59,197","54,300",844,"11,739","1,831","2,511","1,748","3,382","1,018","1,104",666,"13,179","3,064",575,538,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,"62,996","58,226",854,"11,781","2,044","2,746","1,795","3,516","1,064","1,030",680,"13,701","3,063","3,183","3,005",,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,"72,297","67,447",951,"11,595","2,297","2,868","1,868","3,538","1,030","1,036",755,"14,947","3,162","10,079","9,585",,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,"79,076","74,006",837,"11,554","2,353","2,961","1,636","3,447","1,027","1,123",722,"15,758","3,190","16,251","15,445",,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,"76,782","71,895",749,"11,201","2,268","2,901","1,257","3,192",929,"1,097",727,"14,577","3,204","17,116","16,221",,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,"73,891","68,755",740,"11,362","2,084","2,803","1,156","2,996",892,986,738,"13,869","3,058","15,494","14,606",,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,"69,282","63,953",744,"11,098","1,930","2,727","1,015","2,926",853,962,623,"12,996","3,041","13,188","12,404",,,,,,,,,,,,,,,
United States,2020,19,2020-05-09,"66,794","61,183",722,"11,012","1,968","2,494",866,"2,802",863,939,663,"13,165","2,850","11,215","10,440",,,,,,,,,,,,,,,
