Notes	State	State Code	Year	Year Code	Month	Month Code	Deaths
	Alabama	1	1999	1999	"Jan., 1999"	Jan-99	132
	Alabama	1	1999	1999	"Feb., 1999"	Feb-99	114
	Alabama	1	1999	1999	"Mar., 1999"	Mar-99	136
	Alabama	1	1999	1999	"Apr., 1999"	Apr-99	119
	Alabama	1	1999	1999	"May, 1999"	May-99	119
	Alabama	1	1999	1999	"Jun., 1999"	Jun-99	98
	Alabama	1	1999	1999	"Jul., 1999"	Jul-99	98
	Alabama	1	1999	1999	"Aug., 1999"	Aug-99	96
	Alabama	1	1999	1999	"Sep., 1999"	Sep-99	94
	Alabama	1	1999	1999	"Oct., 1999"	Oct-99	92
	Alabama	1	1999	1999	"Nov., 1999"	Nov-99	101
	Alabama	1	1999	1999	"Dec., 1999"	Dec-99	142
	Alabama	1	2000	2000	"Jan., 2000"	Jan-00	153
	Alabama	1	2000	2000	"Feb., 2000"	Feb-00	130
	Alabama	1	2000	2000	"Mar., 2000"	Mar-00	131
	Alabama	1	2000	2000	"Apr., 2000"	Apr-00	106
	Alabama	1	2000	2000	"May, 2000"	May-00	103
	Alabama	1	2000	2000	"Jun., 2000"	Jun-00	89
	Alabama	1	2000	2000	"Jul., 2000"	Jul-00	84
	Alabama	1	2000	2000	"Aug., 2000"	Aug-00	127
	Alabama	1	2000	2000	"Sep., 2000"	Sep-00	109
	Alabama	1	2000	2000	"Oct., 2000"	Oct-00	88
	Alabama	1	2000	2000	"Nov., 2000"	Nov-00	99
	Alabama	1	2000	2000	"Dec., 2000"	Dec-00	102
	Alabama	1	2001	2001	"Jan., 2001"	Jan-01	129
	Alabama	1	2001	2001	"Feb., 2001"	Feb-01	105
	Alabama	1	2001	2001	"Mar., 2001"	Mar-01	126
	Alabama	1	2001	2001	"Apr., 2001"	Apr-01	93
	Alabama	1	2001	2001	"May, 2001"	May-01	125
	Alabama	1	2001	2001	"Jun., 2001"	Jun-01	105
	Alabama	1	2001	2001	"Jul., 2001"	Jul-01	113
	Alabama	1	2001	2001	"Aug., 2001"	Aug-01	100
	Alabama	1	2001	2001	"Sep., 2001"	Sep-01	103
	Alabama	1	2001	2001	"Oct., 2001"	Oct-01	118
	Alabama	1	2001	2001	"Nov., 2001"	Nov-01	102
	Alabama	1	2001	2001	"Dec., 2001"	Dec-01	125
	Alabama	1	2002	2002	"Jan., 2002"	Jan-02	152
	Alabama	1	2002	2002	"Feb., 2002"	Feb-02	122
	Alabama	1	2002	2002	"Mar., 2002"	Mar-02	153
	Alabama	1	2002	2002	"Apr., 2002"	Apr-02	97
	Alabama	1	2002	2002	"May, 2002"	May-02	125
	Alabama	1	2002	2002	"Jun., 2002"	Jun-02	111
	Alabama	1	2002	2002	"Jul., 2002"	Jul-02	100
	Alabama	1	2002	2002	"Aug., 2002"	Aug-02	117
	Alabama	1	2002	2002	"Sep., 2002"	Sep-02	117
	Alabama	1	2002	2002	"Oct., 2002"	Oct-02	138
	Alabama	1	2002	2002	"Nov., 2002"	Nov-02	116
	Alabama	1	2002	2002	"Dec., 2002"	Dec-02	138
