Notes	State	State Code	Year	Year Code	Month	Month Code	Deaths
	Alabama	1	1999	1999	"Jan., 1999"	Jan-99	1228
	Alabama	1	1999	1999	"Feb., 1999"	Feb-99	1117
	Alabama	1	1999	1999	"Mar., 1999"	Mar-99	1361
	Alabama	1	1999	1999	"Apr., 1999"	Apr-99	1106
	Alabama	1	1999	1999	"May, 1999"	May-99	1050
	Alabama	1	1999	1999	"Jun., 1999"	Jun-99	981
	Alabama	1	1999	1999	"Jul., 1999"	Jul-99	1055
	Alabama	1	1999	1999	"Aug., 1999"	Aug-99	999
	Alabama	1	1999	1999	"Sep., 1999"	Sep-99	1050
	Alabama	1	1999	1999	"Oct., 1999"	Oct-99	1039
	Alabama	1	1999	1999	"Nov., 1999"	Nov-99	1105
	Alabama	1	1999	1999	"Dec., 1999"	Dec-99	1328
	Alabama	1	2000	2000	"Jan., 2000"	Jan-00	1422
	Alabama	1	2000	2000	"Feb., 2000"	Feb-00	1173
	Alabama	1	2000	2000	"Mar., 2000"	Mar-00	1106
	Alabama	1	2000	2000	"Apr., 2000"	Apr-00	1060
	Alabama	1	2000	2000	"May, 2000"	May-00	1044
	Alabama	1	2000	2000	"Jun., 2000"	Jun-00	1057
	Alabama	1	2000	2000	"Jul., 2000"	Jul-00	1059
	Alabama	1	2000	2000	"Aug., 2000"	Aug-00	1067
	Alabama	1	2000	2000	"Sep., 2000"	Sep-00	1072
	Alabama	1	2000	2000	"Oct., 2000"	Oct-00	1094
	Alabama	1	2000	2000	"Nov., 2000"	Nov-00	1036
	Alabama	1	2000	2000	"Dec., 2000"	Dec-00	1216
	Alabama	1	2001	2001	"Jan., 2001"	Jan-01	1259
	Alabama	1	2001	2001	"Feb., 2001"	Feb-01	1077
	Alabama	1	2001	2001	"Mar., 2001"	Mar-01	1188
	Alabama	1	2001	2001	"Apr., 2001"	Apr-01	1148
	Alabama	1	2001	2001	"May, 2001"	May-01	1142
	Alabama	1	2001	2001	"Jun., 2001"	Jun-01	1057
	Alabama	1	2001	2001	"Jul., 2001"	Jul-01	1072
	Alabama	1	2001	2001	"Aug., 2001"	Aug-01	1028
	Alabama	1	2001	2001	"Sep., 2001"	Sep-01	1029
	Alabama	1	2001	2001	"Oct., 2001"	Oct-01	1038
	Alabama	1	2001	2001	"Nov., 2001"	Nov-01	1080
	Alabama	1	2001	2001	"Dec., 2001"	Dec-01	1089
	Alabama	1	2002	2002	"Jan., 2002"	Jan-02	1239
	Alabama	1	2002	2002	"Feb., 2002"	Feb-02	1245
	Alabama	1	2002	2002	"Mar., 2002"	Mar-02	1254
	Alabama	1	2002	2002	"Apr., 2002"	Apr-02	1038
	Alabama	1	2002	2002	"May, 2002"	May-02	1115
	Alabama	1	2002	2002	"Jun., 2002"	Jun-02	982
	Alabama	1	2002	2002	"Jul., 2002"	Jul-02	1038
	Alabama	1	2002	2002	"Aug., 2002"	Aug-02	927
	Alabama	1	2002	2002	"Sep., 2002"	Sep-02	1010
	Alabama	1	2002	2002	"Oct., 2002"	Oct-02	999
	Alabama	1	2002	2002	"Nov., 2002"	Nov-02	1158
	Alabama	1	2002	2002	"Dec., 2002"	Dec-02	1192
	Alabama	1	2003	2003	"Jan., 2003"	Jan-03	1185
	Alabama	1	2003	2003	"Feb., 2003"	Feb-03	1195
	Alabama	1	2003	2003	"Mar., 2003"	Mar-03	1170
	Alabama	1	2003	2003	"Apr., 2003"	Apr-03	1035
	Alabama	1	2003	2003	"May, 2003"	May-03	1103
	Alabama	1	2003	2003	"Jun., 2003"	Jun-03	1000
	Alabama	1	2003	2003	"Jul., 2003"	Jul-03	988
	Alabama	1	2003	2003	"Aug., 2003"	Aug-03	1051
	Alabama	1	2003	2003	"Sep., 2003"	Sep-03	999
	Alabama	1	2003	2003	"Oct., 2003"	Oct-03	1003
	Alabama	1	2003	2003	"Nov., 2003"	Nov-03	1048
	Alabama	1	2003	2003	"Dec., 2003"	Dec-03	1373
	Alabama	1	2004	2004	"Jan., 2004"	Jan-04	1280
	Alabama	1	2004	2004	"Feb., 2004"	Feb-04	1072
	Alabama	1	2004	2004	"Mar., 2004"	Mar-04	1141
