Notes	State	State Code	Year	Year Code	Month	Month Code	Deaths
	Alabama	1	1999	1999	"Jan., 1999"	Jan-99	821
	Alabama	1	1999	1999	"Feb., 1999"	Feb-99	725
	Alabama	1	1999	1999	"Mar., 1999"	Mar-99	839
	Alabama	1	1999	1999	"Apr., 1999"	Apr-99	753
	Alabama	1	1999	1999	"May, 1999"	May-99	810
	Alabama	1	1999	1999	"Jun., 1999"	Jun-99	797
	Alabama	1	1999	1999	"Jul., 1999"	Jul-99	735
	Alabama	1	1999	1999	"Aug., 1999"	Aug-99	798
	Alabama	1	1999	1999	"Sep., 1999"	Sep-99	761
	Alabama	1	1999	1999	"Oct., 1999"	Oct-99	838
	Alabama	1	1999	1999	"Nov., 1999"	Nov-99	772
	Alabama	1	1999	1999	"Dec., 1999"	Dec-99	857
	Alabama	1	2000	2000	"Jan., 2000"	Jan-00	924
	Alabama	1	2000	2000	"Feb., 2000"	Feb-00	799
	Alabama	1	2000	2000	"Mar., 2000"	Mar-00	772
	Alabama	1	2000	2000	"Apr., 2000"	Apr-00	784
	Alabama	1	2000	2000	"May, 2000"	May-00	835
	Alabama	1	2000	2000	"Jun., 2000"	Jun-00	742
	Alabama	1	2000	2000	"Jul., 2000"	Jul-00	816
	Alabama	1	2000	2000	"Aug., 2000"	Aug-00	842
	Alabama	1	2000	2000	"Sep., 2000"	Sep-00	829
	Alabama	1	2000	2000	"Oct., 2000"	Oct-00	853
	Alabama	1	2000	2000	"Nov., 2000"	Nov-00	783
	Alabama	1	2000	2000	"Dec., 2000"	Dec-00	828
	Alabama	1	2001	2001	"Jan., 2001"	Jan-01	849
	Alabama	1	2001	2001	"Feb., 2001"	Feb-01	726
	Alabama	1	2001	2001	"Mar., 2001"	Mar-01	848
	Alabama	1	2001	2001	"Apr., 2001"	Apr-01	769
	Alabama	1	2001	2001	"May, 2001"	May-01	799
	Alabama	1	2001	2001	"Jun., 2001"	Jun-01	823
	Alabama	1	2001	2001	"Jul., 2001"	Jul-01	780
	Alabama	1	2001	2001	"Aug., 2001"	Aug-01	844
	Alabama	1	2001	2001	"Sep., 2001"	Sep-01	849
	Alabama	1	2001	2001	"Oct., 2001"	Oct-01	835
	Alabama	1	2001	2001	"Nov., 2001"	Nov-01	811
	Alabama	1	2001	2001	"Dec., 2001"	Dec-01	868
	Alabama	1	2002	2002	"Jan., 2002"	Jan-02	834
	Alabama	1	2002	2002	"Feb., 2002"	Feb-02	758
	Alabama	1	2002	2002	"Mar., 2002"	Mar-02	844
	Alabama	1	2002	2002	"Apr., 2002"	Apr-02	795
	Alabama	1	2002	2002	"May, 2002"	May-02	779
	Alabama	1	2002	2002	"Jun., 2002"	Jun-02	758
	Alabama	1	2002	2002	"Jul., 2002"	Jul-02	822
	Alabama	1	2002	2002	"Aug., 2002"	Aug-02	826
	Alabama	1	2002	2002	"Sep., 2002"	Sep-02	782
	Alabama	1	2002	2002	"Oct., 2002"	Oct-02	797
	Alabama	1	2002	2002	"Nov., 2002"	Nov-02	825
	Alabama	1	2002	2002	"Dec., 2002"	Dec-02	878
	Alabama	1	2003	2003	"Jan., 2003"	Jan-03	815
	Alabama	1	2003	2003	"Feb., 2003"	Feb-03	765
	Alabama	1	2003	2003	"Mar., 2003"	Mar-03	874
	Alabama	1	2003	2003	"Apr., 2003"	Apr-03	847
	Alabama	1	2003	2003	"May, 2003"	May-03	767
	Alabama	1	2003	2003	"Jun., 2003"	Jun-03	806
	Alabama	1	2003	2003	"Jul., 2003"	Jul-03	848
	Alabama	1	2003	2003	"Aug., 2003"	Aug-03	808
	Alabama	1	2003	2003	"Sep., 2003"	Sep-03	804
	Alabama	1	2003	2003	"Oct., 2003"	Oct-03	798
	Alabama	1	2003	2003	"Nov., 2003"	Nov-03	757
	Alabama	1	2003	2003	"Dec., 2003"	Dec-03	923
	Alabama	1	2004	2004	"Jan., 2004"	Jan-04	853
	Alabama	1	2004	2004	"Feb., 2004"	Feb-04	851
	Alabama	1	2004	2004	"Mar., 2004"	Mar-04	805
	Alabama	1	2004	2004	"Apr., 2004"	Apr-04	755
	Alabama	1	2004	2004	"May, 2004"	May-04	790
	Alabama	1	2004	2004	"Jun., 2004"	Jun-04	838
	Alabama	1	2004	2004	"Jul., 2004"	Jul-04	819
	Alabama	1	2004	2004	"Aug., 2004"	Aug-04	839
	Alabama	1	2004	2004	"Sep., 2004"	Sep-04	777
	Alabama	1	2004	2004	"Oct., 2004"	Oct-04	805
	Alabama	1	2004	2004	"Nov., 2004"	Nov-04	783
	Alabama	1	2004	2004	"Dec., 2004"	Dec-04	841
	Alabama	1	2005	2005	"Jan., 2005"	Jan-05	870
	Alabama	1	2005	2005	"Feb., 2005"	Feb-05	768
	Alabama	1	2005	2005	"Mar., 2005"	Mar-05	816
	Alabama	1	2005	2005	"Apr., 2005"	Apr-05	799
	Alabama	1	2005	2005	"May, 2005"	May-05	855
	Alabama	1	2005	2005	"Jun., 2005"	Jun-05	814
	Alabama	1	2005	2005	"Jul., 2005"	Jul-05	880
	Alabama	1	2005	2005	"Aug., 2005"	Aug-05	873
	Alabama	1	2005	2005	"Sep., 2005"	Sep-05	766
	Alabama	1	2005	2005	"Oct., 2005"	Oct-05	824
	Alabama	1	2005	2005	"Nov., 2005"	Nov-05	816
	Alabama	1	2005	2005	"Dec., 2005"	Dec-05	832
	Alabama	1	2006	2006	"Jan., 2006"	Jan-06	820
	Alabama	1	2006	2006	"Feb., 2006"	Feb-06	843
	Alabama	1	2006	2006	"Mar., 2006"	Mar-06	883
	Alabama	1	2006	2006	"Apr., 2006"	Apr-06	757
	Alabama	1	2006	2006	"May, 2006"	May-06	813
	Alabama	1	2006	2006	"Jun., 2006"	Jun-06	827
	Alabama	1	2006	2006	"Jul., 2006"	Jul-06	824
	Alabama	1	2006	2006	"Aug., 2006"	Aug-06	817
	Alabama	1	2006	2006	"Sep., 2006"	Sep-06	807
	Alabama	1	2006	2006	"Oct., 2006"	Oct-06	900
	Alabama	1	2006	2006	"Nov., 2006"	Nov-06	792
	Alabama	1	2006	2006	"Dec., 2006"	Dec-06	816
	Alabama	1	2007	2007	"Jan., 2007"	Jan-07	884
	Alabama	1	2007	2007	"Feb., 2007"	Feb-07	814
	Alabama	1	2007	2007	"Mar., 2007"	Mar-07	853
	Alabama	1	2007	2007	"Apr., 2007"	Apr-07	877
	Alabama	1	2007	2007	"May, 2007"	May-07	788
	Alabama	1	2007	2007	"Jun., 2007"	Jun-07	844
	Alabama	1	2007	2007	"Jul., 2007"	Jul-07	817
	Alabama	1	2007	2007	"Aug., 2007"	Aug-07	829
	Alabama	1	2007	2007	"Sep., 2007"	Sep-07	830
	Alabama	1	2007	2007	"Oct., 2007"	Oct-07	808
	Alabama	1	2007	2007	"Nov., 2007"	Nov-07	800
	Alabama	1	2007	2007	"Dec., 2007"	Dec-07	881
	Alabama	1	2008	2008	"Jan., 2008"	Jan-08	870
	Alabama	1	2008	2008	"Feb., 2008"	Feb-08	886
	Alabama	1	2008	2008	"Mar., 2008"	Mar-08	852
	Alabama	1	2008	2008	"Apr., 2008"	Apr-08	838
	Alabama	1	2008	2008	"May, 2008"	May-08	855
	Alabama	1	2008	2008	"Jun., 2008"	Jun-08	821
	Alabama	1	2008	2008	"Jul., 2008"	Jul-08	781
	Alabama	1	2008	2008	"Aug., 2008"	Aug-08	889
	Alabama	1	2008	2008	"Sep., 2008"	Sep-08	850
	Alabama	1	2008	2008	"Oct., 2008"	Oct-08	819
	Alabama	1	2008	2008	"Nov., 2008"	Nov-08	854
	Alabama	1	2008	2008	"Dec., 2008"	Dec-08	867
	Alabama	1	2009	2009	"Jan., 2009"	Jan-09	891
	Alabama	1	2009	2009	"Feb., 2009"	Feb-09	782
	Alabama	1	2009	2009	"Mar., 2009"	Mar-09	854
	Alabama	1	2009	2009	"Apr., 2009"	Apr-09	795
	Alabama	1	2009	2009	"May, 2009"	May-09	879
	Alabama	1	2009	2009	"Jun., 2009"	Jun-09	837
	Alabama	1	2009	2009	"Jul., 2009"	Jul-09	856
	Alabama	1	2009	2009	"Aug., 2009"	Aug-09	831
	Alabama	1	2009	2009	"Sep., 2009"	Sep-09	874
	Alabama	1	2009	2009	"Oct., 2009"	Oct-09	913
	Alabama	1	2009	2009	"Nov., 2009"	Nov-09	851
	Alabama	1	2009	2009	"Dec., 2009"	Dec-09	926
	Alabama	1	2010	2010	"Jan., 2010"	Jan-10	870
	Alabama	1	2010	2010	"Feb., 2010"	Feb-10	823
	Alabama	1	2010	2010	"Mar., 2010"	Mar-10	861
	Alabama	1	2010	2010	"Apr., 2010"	Apr-10	824
	Alabama	1	2010	2010	"May, 2010"	May-10	854
	Alabama	1	2010	2010	"Jun., 2010"	Jun-10	848
	Alabama	1	2010	2010	"Jul., 2010"	Jul-10	822
	Alabama	1	2010	2010	"Aug., 2010"	Aug-10	873
	Alabama	1	2010	2010	"Sep., 2010"	Sep-10	857
	Alabama	1	2010	2010	"Oct., 2010"	Oct-10	854
	Alabama	1	2010	2010	"Nov., 2010"	Nov-10	792
	Alabama	1	2010	2010	"Dec., 2010"	Dec-10	918
	Alabama	1	2011	2011	"Jan., 2011"	Jan-11	904
	Alabama	1	2011	2011	"Feb., 2011"	Feb-11	794
	Alabama	1	2011	2011	"Mar., 2011"	Mar-11	888
	Alabama	1	2011	2011	"Apr., 2011"	Apr-11	815
	Alabama	1	2011	2011	"May, 2011"	May-11	839
	Alabama	1	2011	2011	"Jun., 2011"	Jun-11	823
	Alabama	1	2011	2011	"Jul., 2011"	Jul-11	875
	Alabama	1	2011	2011	"Aug., 2011"	Aug-11	869
	Alabama	1	2011	2011	"Sep., 2011"	Sep-11	828
	Alabama	1	2011	2011	"Oct., 2011"	Oct-11	902
	Alabama	1	2011	2011	"Nov., 2011"	Nov-11	818
	Alabama	1	2011	2011	"Dec., 2011"	Dec-11	878
	Alabama	1	2012	2012	"Jan., 2012"	Jan-12	818
	Alabama	1	2012	2012	"Feb., 2012"	Feb-12	846
	Alabama	1	2012	2012	"Mar., 2012"	Mar-12	889
	Alabama	1	2012	2012	"Apr., 2012"	Apr-12	909
	Alabama	1	2012	2012	"May, 2012"	May-12	845
	Alabama	1	2012	2012	"Jun., 2012"	Jun-12	832
	Alabama	1	2012	2012	"Jul., 2012"	Jul-12	884
	Alabama	1	2012	2012	"Aug., 2012"	Aug-12	870
	Alabama	1	2012	2012	"Sep., 2012"	Sep-12	846
	Alabama	1	2012	2012	"Oct., 2012"	Oct-12	836
	Alabama	1	2012	2012	"Nov., 2012"	Nov-12	819
	Alabama	1	2012	2012	"Dec., 2012"	Dec-12	882
	Alabama	1	2013	2013	"Jan., 2013"	Jan-13	898
	Alabama	1	2013	2013	"Feb., 2013"	Feb-13	797
	Alabama	1	2013	2013	"Mar., 2013"	Mar-13	888
	Alabama	1	2013	2013	"Apr., 2013"	Apr-13	863
	Alabama	1	2013	2013	"May, 2013"	May-13	903
	Alabama	1	2013	2013	"Jun., 2013"	Jun-13	861
