Notes	State	State Code	Year	Year Code	Month	Month Code	Deaths
	Alabama	1	1999	1999	"Jan., 1999"	Jan-99	55
	Alabama	1	1999	1999	"Feb., 1999"	Feb-99	55
	Alabama	1	1999	1999	"Mar., 1999"	Mar-99	74
	Alabama	1	1999	1999	"Apr., 1999"	Apr-99	47
	Alabama	1	1999	1999	"May, 1999"	May-99	46
	Alabama	1	1999	1999	"Jun., 1999"	Jun-99	46
	Alabama	1	1999	1999	"Jul., 1999"	Jul-99	41
	Alabama	1	1999	1999	"Aug., 1999"	Aug-99	46
	Alabama	1	1999	1999	"Sep., 1999"	Sep-99	45
	Alabama	1	1999	1999	"Oct., 1999"	Oct-99	44
	Alabama	1	1999	1999	"Nov., 1999"	Nov-99	49
	Alabama	1	1999	1999	"Dec., 1999"	Dec-99	58
	Alabama	1	2000	2000	"Jan., 2000"	Jan-00	82
	Alabama	1	2000	2000	"Feb., 2000"	Feb-00	57
	Alabama	1	2000	2000	"Mar., 2000"	Mar-00	44
	Alabama	1	2000	2000	"Apr., 2000"	Apr-00	46
	Alabama	1	2000	2000	"May, 2000"	May-00	45
	Alabama	1	2000	2000	"Jun., 2000"	Jun-00	34
	Alabama	1	2000	2000	"Jul., 2000"	Jul-00	42
	Alabama	1	2000	2000	"Aug., 2000"	Aug-00	37
	Alabama	1	2000	2000	"Sep., 2000"	Sep-00	32
	Alabama	1	2000	2000	"Oct., 2000"	Oct-00	50
	Alabama	1	2000	2000	"Nov., 2000"	Nov-00	43
	Alabama	1	2000	2000	"Dec., 2000"	Dec-00	57
	Alabama	1	2001	2001	"Jan., 2001"	Jan-01	69
	Alabama	1	2001	2001	"Feb., 2001"	Feb-01	62
	Alabama	1	2001	2001	"Mar., 2001"	Mar-01	63
	Alabama	1	2001	2001	"Apr., 2001"	Apr-01	54
	Alabama	1	2001	2001	"May, 2001"	May-01	54
	Alabama	1	2001	2001	"Jun., 2001"	Jun-01	47
	Alabama	1	2001	2001	"Jul., 2001"	Jul-01	44
	Alabama	1	2001	2001	"Aug., 2001"	Aug-01	47
	Alabama	1	2001	2001	"Sep., 2001"	Sep-01	38
