Notes	State	State Code	Year	Year Code	Month	Month Code	Deaths
	Alabama	1	1999	1999	"Jan., 1999"	Jan-99	96
	Alabama	1	1999	1999	"Feb., 1999"	Feb-99	94
	Alabama	1	1999	1999	"Mar., 1999"	Mar-99	84
	Alabama	1	1999	1999	"Apr., 1999"	Apr-99	83
	Alabama	1	1999	1999	"May, 1999"	May-99	74
	Alabama	1	1999	1999	"Jun., 1999"	Jun-99	68
	Alabama	1	1999	1999	"Jul., 1999"	Jul-99	72
	Alabama	1	1999	1999	"Aug., 1999"	Aug-99	84
	Alabama	1	1999	1999	"Sep., 1999"	Sep-99	70
	Alabama	1	1999	1999	"Oct., 1999"	Oct-99	76
	Alabama	1	1999	1999	"Nov., 1999"	Nov-99	77
	Alabama	1	1999	1999	"Dec., 1999"	Dec-99	106
	Alabama	1	2000	2000	"Jan., 2000"	Jan-00	96
	Alabama	1	2000	2000	"Feb., 2000"	Feb-00	91
	Alabama	1	2000	2000	"Mar., 2000"	Mar-00	84
	Alabama	1	2000	2000	"Apr., 2000"	Apr-00	68
	Alabama	1	2000	2000	"May, 2000"	May-00	77
	Alabama	1	2000	2000	"Jun., 2000"	Jun-00	66
	Alabama	1	2000	2000	"Jul., 2000"	Jul-00	70
	Alabama	1	2000	2000	"Aug., 2000"	Aug-00	74
	Alabama	1	2000	2000	"Sep., 2000"	Sep-00	85
	Alabama	1	2000	2000	"Oct., 2000"	Oct-00	81
	Alabama	1	2000	2000	"Nov., 2000"	Nov-00	86
	Alabama	1	2000	2000	"Dec., 2000"	Dec-00	95
	Alabama	1	2001	2001	"Jan., 2001"	Jan-01	99
	Alabama	1	2001	2001	"Feb., 2001"	Feb-01	89
	Alabama	1	2001	2001	"Mar., 2001"	Mar-01	81
	Alabama	1	2001	2001	"Apr., 2001"	Apr-01	75
	Alabama	1	2001	2001	"May, 2001"	May-01	67
	Alabama	1	2001	2001	"Jun., 2001"	Jun-01	83
	Alabama	1	2001	2001	"Jul., 2001"	Jul-01	69
	Alabama	1	2001	2001	"Aug., 2001"	Aug-01	73
	Alabama	1	2001	2001	"Sep., 2001"	Sep-01	74
	Alabama	1	2001	2001	"Oct., 2001"	Oct-01	99
	Alabama	1	2001	2001	"Nov., 2001"	Nov-01	77
	Alabama	1	2001	2001	"Dec., 2001"	Dec-01	90
	Alabama	1	2002	2002	"Jan., 2002"	Jan-02	102
	Alabama	1	2002	2002	"Feb., 2002"	Feb-02	93
	Alabama	1	2002	2002	"Mar., 2002"	Mar-02	96
	Alabama	1	2002	2002	"Apr., 2002"	Apr-02	86
	Alabama	1	2002	2002	"May, 2002"	May-02	84
	Alabama	1	2002	2002	"Jun., 2002"	Jun-02	103
	Alabama	1	2002	2002	"Jul., 2002"	Jul-02	82
	Alabama	1	2002	2002	"Aug., 2002"	Aug-02	93
	Alabama	1	2002	2002	"Sep., 2002"	Sep-02	102
	Alabama	1	2002	2002	"Oct., 2002"	Oct-02	93
	Alabama	1	2002	2002	"Nov., 2002"	Nov-02	106
	Alabama	1	2002	2002	"Dec., 2002"	Dec-02	120
	Alabama	1	2003	2003	"Jan., 2003"	Jan-03	119
	Alabama	1	2003	2003	"Feb., 2003"	Feb-03	104
	Alabama	1	2003	2003	"Mar., 2003"	Mar-03	133
	Alabama	1	2003	2003	"Apr., 2003"	Apr-03	126
	Alabama	1	2003	2003	"May, 2003"	May-03	118
	Alabama	1	2003	2003	"Jun., 2003"	Jun-03	124
	Alabama	1	2003	2003	"Jul., 2003"	Jul-03	94
	Alabama	1	2003	2003	"Aug., 2003"	Aug-03	127
	Alabama	1	2003	2003	"Sep., 2003"	Sep-03	111
	Alabama	1	2003	2003	"Oct., 2003"	Oct-03	93
	Alabama	1	2003	2003	"Nov., 2003"	Nov-03	128
	Alabama	1	2003	2003	"Dec., 2003"	Dec-03	180
	Alabama	1	2004	2004	"Jan., 2004"	Jan-04	120
	Alabama	1	2004	2004	"Feb., 2004"	Feb-04	131
	Alabama	1	2004	2004	"Mar., 2004"	Mar-04	120
	Alabama	1	2004	2004	"Apr., 2004"	Apr-04	107
	Alabama	1	2004	2004	"May, 2004"	May-04	106
	Alabama	1	2004	2004	"Jun., 2004"	Jun-04	107
	Alabama	1	2004	2004	"Jul., 2004"	Jul-04	91
	Alabama	1	2004	2004	"Aug., 2004"	Aug-04	96
	Alabama	1	2004	2004	"Sep., 2004"	Sep-04	109
	Alabama	1	2004	2004	"Oct., 2004"	Oct-04	103
	Alabama	1	2004	2004	"Nov., 2004"	Nov-04	103
	Alabama	1	2004	2004	"Dec., 2004"	Dec-04	129
	Alabama	1	2005	2005	"Jan., 2005"	Jan-05	118
	Alabama	1	2005	2005	"Feb., 2005"	Feb-05	122
	Alabama	1	2005	2005	"Mar., 2005"	Mar-05	128
	Alabama	1	2005	2005	"Apr., 2005"	Apr-05	115
	Alabama	1	2005	2005	"May, 2005"	May-05	89
	Alabama	1	2005	2005	"Jun., 2005"	Jun-05	95
	Alabama	1	2005	2005	"Jul., 2005"	Jul-05	112
	Alabama	1	2005	2005	"Aug., 2005"	Aug-05	101
	Alabama	1	2005	2005	"Sep., 2005"	Sep-05	110
	Alabama	1	2005	2005	"Oct., 2005"	Oct-05	91
	Alabama	1	2005	2005	"Nov., 2005"	Nov-05	122
	Alabama	1	2005	2005	"Dec., 2005"	Dec-05	104
	Alabama	1	2006	2006	"Jan., 2006"	Jan-06	124
	Alabama	1	2006	2006	"Feb., 2006"	Feb-06	128
	Alabama	1	2006	2006	"Mar., 2006"	Mar-06	122
	Alabama	1	2006	2006	"Apr., 2006"	Apr-06	95
	Alabama	1	2006	2006	"May, 2006"	May-06	127
	Alabama	1	2006	2006	"Jun., 2006"	Jun-06	119
	Alabama	1	2006	2006	"Jul., 2006"	Jul-06	118
	Alabama	1	2006	2006	"Aug., 2006"	Aug-06	109
	Alabama	1	2006	2006	"Sep., 2006"	Sep-06	123
	Alabama	1	2006	2006	"Oct., 2006"	Oct-06	133
	Alabama	1	2006	2006	"Nov., 2006"	Nov-06	150
	Alabama	1	2006	2006	"Dec., 2006"	Dec-06	154
	Alabama	1	2007	2007	"Jan., 2007"	Jan-07	125
	Alabama	1	2007	2007	"Feb., 2007"	Feb-07	116
	Alabama	1	2007	2007	"Mar., 2007"	Mar-07	117
	Alabama	1	2007	2007	"Apr., 2007"	Apr-07	106
	Alabama	1	2007	2007	"May, 2007"	May-07	106
	Alabama	1	2007	2007	"Jun., 2007"	Jun-07	101
	Alabama	1	2007	2007	"Jul., 2007"	Jul-07	115
	Alabama	1	2007	2007	"Aug., 2007"	Aug-07	111
	Alabama	1	2007	2007	"Sep., 2007"	Sep-07	101
	Alabama	1	2007	2007	"Oct., 2007"	Oct-07	129
	Alabama	1	2007	2007	"Nov., 2007"	Nov-07	112
	Alabama	1	2007	2007	"Dec., 2007"	Dec-07	132
	Alabama	1	2008	2008	"Jan., 2008"	Jan-08	145
	Alabama	1	2008	2008	"Feb., 2008"	Feb-08	153
	Alabama	1	2008	2008	"Mar., 2008"	Mar-08	120
	Alabama	1	2008	2008	"Apr., 2008"	Apr-08	111
	Alabama	1	2008	2008	"May, 2008"	May-08	92
	Alabama	1	2008	2008	"Jun., 2008"	Jun-08	104
	Alabama	1	2008	2008	"Jul., 2008"	Jul-08	82
	Alabama	1	2008	2008	"Aug., 2008"	Aug-08	109
	Alabama	1	2008	2008	"Sep., 2008"	Sep-08	114
	Alabama	1	2008	2008	"Oct., 2008"	Oct-08	83
	Alabama	1	2008	2008	"Nov., 2008"	Nov-08	108
	Alabama	1	2008	2008	"Dec., 2008"	Dec-08	106
	Alabama	1	2009	2009	"Jan., 2009"	Jan-09	117
	Alabama	1	2009	2009	"Feb., 2009"	Feb-09	106
	Alabama	1	2009	2009	"Mar., 2009"	Mar-09	104
	Alabama	1	2009	2009	"Apr., 2009"	Apr-09	106
	Alabama	1	2009	2009	"May, 2009"	May-09	111
	Alabama	1	2009	2009	"Jun., 2009"	Jun-09	101
	Alabama	1	2009	2009	"Jul., 2009"	Jul-09	100
	Alabama	1	2009	2009	"Aug., 2009"	Aug-09	98
	Alabama	1	2009	2009	"Sep., 2009"	Sep-09	99
	Alabama	1	2009	2009	"Oct., 2009"	Oct-09	128
	Alabama	1	2009	2009	"Nov., 2009"	Nov-09	112
	Alabama	1	2009	2009	"Dec., 2009"	Dec-09	134
	Alabama	1	2010	2010	"Jan., 2010"	Jan-10	116
	Alabama	1	2010	2010	"Feb., 2010"	Feb-10	95
	Alabama	1	2010	2010	"Mar., 2010"	Mar-10	92
	Alabama	1	2010	2010	"Apr., 2010"	Apr-10	109
	Alabama	1	2010	2010	"May, 2010"	May-10	122
	Alabama	1	2010	2010	"Jun., 2010"	Jun-10	116
	Alabama	1	2010	2010	"Jul., 2010"	Jul-10	105
	Alabama	1	2010	2010	"Aug., 2010"	Aug-10	128
	Alabama	1	2010	2010	"Sep., 2010"	Sep-10	120
	Alabama	1	2010	2010	"Oct., 2010"	Oct-10	113
	Alabama	1	2010	2010	"Nov., 2010"	Nov-10	136
	Alabama	1	2010	2010	"Dec., 2010"	Dec-10	144
	Alabama	1	2011	2011	"Jan., 2011"	Jan-11	136
	Alabama	1	2011	2011	"Feb., 2011"	Feb-11	121
	Alabama	1	2011	2011	"Mar., 2011"	Mar-11	161
	Alabama	1	2011	2011	"Apr., 2011"	Apr-11	132
	Alabama	1	2011	2011	"May, 2011"	May-11	148
	Alabama	1	2011	2011	"Jun., 2011"	Jun-11	149
