"Notes"	"State"	"State Code"	"Year"	"Year Code"	Population
	"Alabama"	"01"	"1999"	"1999"	4430141
	"Alabama"	"01"	"2000"	"2000"	4447100
	"Alabama"	"01"	"2001"	"2001"	4467634
	"Alabama"	"01"	"2002"	"2002"	4480089
	"Alabama"	"01"	"2003"	"2003"	4503491
	"Alabama"	"01"	"2004"	"2004"	4530729
	"Alabama"	"01"	"2005"	"2005"	4569805
	"Alabama"	"01"	"2006"	"2006"	4628981
	"Alabama"	"01"	"2007"	"2007"	4672840
	"Alabama"	"01"	"2008"	"2008"	4718206
	"Alabama"	"01"	"2009"	"2009"	4757938
	"Alabama"	"01"	"2010"	"2010"	4779736
	"Alabama"	"01"	"2011"	"2011"	4802740
	"Alabama"	"01"	"2012"	"2012"	4822023
	"Alabama"	"01"	"2013"	"2013"	4833722
	"Alabama"	"01"	"2014"	"2014"	4849377
	"Alabama"	"01"	"2015"	"2015"	4858979
	"Alabama"	"01"	"2016"	"2016"	4863300
	"Alabama"	"01"	"2017"	"2017"	4874747
	"Alabama"	"01"	"2018"	"2018"	4887871
	"Alabama"	"01"	"2019"	"2019"	4903185
	"Alaska"	"02"	"1999"	"1999"	624779
	"Alaska"	"02"	"2000"	"2000"	626932
	"Alaska"	"02"	"2001"	"2001"	633714
	"Alaska"	"02"	"2002"	"2002"	642337
	"Alaska"	"02"	"2003"	"2003"	648414
	"Alaska"	"02"	"2004"	"2004"	659286
	"Alaska"	"02"	"2005"	"2005"	666946
	"Alaska"	"02"	"2006"	"2006"	675302
	"Alaska"	"02"	"2007"	"2007"	680300
	"Alaska"	"02"	"2008"	"2008"	687455
	"Alaska"	"02"	"2009"	"2009"	698895
	"Alaska"	"02"	"2010"	"2010"	710231
	"Alaska"	"02"	"2011"	"2011"	722718
	"Alaska"	"02"	"2012"	"2012"	731449
	"Alaska"	"02"	"2013"	"2013"	735132
	"Alaska"	"02"	"2014"	"2014"	736732
	"Alaska"	"02"	"2015"	"2015"	738432
	"Alaska"	"02"	"2016"	"2016"	741894
	"Alaska"	"02"	"2017"	"2017"	739795
	"Alaska"	"02"	"2018"	"2018"	737438
	"Alaska"	"02"	"2019"	"2019"	731545
	"Arizona"	"04"	"1999"	"1999"	5023823
	"Arizona"	"04"	"2000"	"2000"	5130632
	"Arizona"	"04"	"2001"	"2001"	5273477
	"Arizona"	"04"	"2002"	"2002"	5396255
	"Arizona"	"04"	"2003"	"2003"	5510364
	"Arizona"	"04"	"2004"	"2004"	5652404
	"Arizona"	"04"	"2005"	"2005"	5839077
	"Arizona"	"04"	"2006"	"2006"	6029141
	"Arizona"	"04"	"2007"	"2007"	6167681
	"Arizona"	"04"	"2008"	"2008"	6280362
	"Arizona"	"04"	"2009"	"2009"	6343154
	"Arizona"	"04"	"2010"	"2010"	6392017
	"Arizona"	"04"	"2011"	"2011"	6482505
	"Arizona"	"04"	"2012"	"2012"	6553255
	"Arizona"	"04"	"2013"	"2013"	6626624
	"Arizona"	"04"	"2014"	"2014"	6731484
	"Arizona"	"04"	"2015"	"2015"	6828065
	"Arizona"	"04"	"2016"	"2016"	6931071
	"Arizona"	"04"	"2017"	"2017"	7016270
	"Arizona"	"04"	"2018"	"2018"	7171646
	"Arizona"	"04"	"2019"	"2019"	7278717
	"Arkansas"	"05"	"1999"	"1999"	2651860
	"Arkansas"	"05"	"2000"	"2000"	2673400
	"Arkansas"	"05"	"2001"	"2001"	2691571
	"Arkansas"	"05"	"2002"	"2002"	2705927
	"Arkansas"	"05"	"2003"	"2003"	2724816
	"Arkansas"	"05"	"2004"	"2004"	2749686
	"Arkansas"	"05"	"2005"	"2005"	2781097
	"Arkansas"	"05"	"2006"	"2006"	2821761
	"Arkansas"	"05"	"2007"	"2007"	2848650
	"Arkansas"	"05"	"2008"	"2008"	2874554
