"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths
	"Alabama"	"01"	"1999"	"1999"	44806
	"Alabama"	"01"	"2000"	"2000"	45062
	"Alabama"	"01"	"2001"	"2001"	45316
	"Alabama"	"01"	"2002"	"2002"	46069
	"Alabama"	"01"	"2003"	"2003"	46716
	"Alabama"	"01"	"2004"	"2004"	46121
	"Alabama"	"01"	"2005"	"2005"	47090
	"Alabama"	"01"	"2006"	"2006"	46977
	"Alabama"	"01"	"2007"	"2007"	46696
	"Alabama"	"01"	"2008"	"2008"	47707
	"Alabama"	"01"	"2009"	"2009"	47470
	"Alabama"	"01"	"2010"	"2010"	48038
	"Alabama"	"01"	"2011"	"2011"	48681
	"Alabama"	"01"	"2012"	"2012"	49301
	"Alabama"	"01"	"2013"	"2013"	50189
	"Alabama"	"01"	"2014"	"2014"	50215
	"Alabama"	"01"	"2015"	"2015"	51909
	"Alabama"	"01"	"2016"	"2016"	52466
	"Alabama"	"01"	"2017"	"2017"	53238
	"Alabama"	"01"	"2018"	"2018"	54352
	"Alabama"	"01"	"2019"	"2019"	54108
	"Alaska"	"02"	"1999"	"1999"	2708
	"Alaska"	"02"	"2000"	"2000"	2914
	"Alaska"	"02"	"2001"	"2001"	2974
	"Alaska"	"02"	"2002"	"2002"	3030
	"Alaska"	"02"	"2003"	"2003"	3180
	"Alaska"	"02"	"2004"	"2004"	3051
	"Alaska"	"02"	"2005"	"2005"	3168
	"Alaska"	"02"	"2006"	"2006"	3354
	"Alaska"	"02"	"2007"	"2007"	3463
	"Alaska"	"02"	"2008"	"2008"	3494
	"Alaska"	"02"	"2009"	"2009"	3618
	"Alaska"	"02"	"2010"	"2010"	3728
	"Alaska"	"02"	"2011"	"2011"	3849
	"Alaska"	"02"	"2012"	"2012"	3912
	"Alaska"	"02"	"2013"	"2013"	3997
	"Alaska"	"02"	"2014"	"2014"	4128
	"Alaska"	"02"	"2015"	"2015"	4316
	"Alaska"	"02"	"2016"	"2016"	4494
	"Alaska"	"02"	"2017"	"2017"	4411
	"Alaska"	"02"	"2018"	"2018"	4453
	"Alaska"	"02"	"2019"	"2019"	4613
	"Arizona"	"04"	"1999"	"1999"	40050
	"Arizona"	"04"	"2000"	"2000"	40500
	"Arizona"	"04"	"2001"	"2001"	41058
	"Arizona"	"04"	"2002"	"2002"	42816
	"Arizona"	"04"	"2003"	"2003"	43392
