Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	772
	Alabama	1	2000	2000	895
	Alabama	1	2001	2001	1103
	Alabama	1	2002	2002	1189
	Alabama	1	2003	2003	1268
	Alabama	1	2004	2004	1385
	Alabama	1	2005	2005	1501
	Alabama	1	2006	2006	1497
	Alabama	1	2007	2007	1517
	Alabama	1	2008	2008	1518
	Alabama	1	2009	2009	1521
	Alabama	1	2010	2010	1523
	Alabama	1	2011	2011	1486
	Alabama	1	2012	2012	1390
	Alabama	1	2013	2013	1398
	Alabama	1	2014	2014	1885
	Alabama	1	2015	2015	2282
	Alabama	1	2016	2016	2507
	Alabama	1	2017	2017	2563
	Alabama	1	2018	2018	2616
	Alabama	1	2019	2019	2659
	Alaska	2	1999	1999	24
	Alaska	2	2000	2000	47
	Alaska	2	2001	2001	44
	Alaska	2	2002	2002	61
	Alaska	2	2003	2003	56
	Alaska	2	2004	2004	48
	Alaska	2	2005	2005	61
	Alaska	2	2006	2006	73
	Alaska	2	2007	2007	65
	Alaska	2	2008	2008	80
	Alaska	2	2009	2009	67
	Alaska	2	2010	2010	85
	Alaska	2	2011	2011	72
	Alaska	2	2012	2012	102
	Alaska	2	2013	2013	72
	Alaska	2	2014	2014	68
	Alaska	2	2015	2015	68
	Alaska	2	2016	2016	111
	Alaska	2	2017	2017	98
	Alaska	2	2018	2018	131
	Alaska	2	2019	2019	128
	Arizona	4	1999	1999	963
	Arizona	4	2000	2000	1045
	Arizona	4	2001	2001	1108
	Arizona	4	2002	2002	1433
	Arizona	4	2003	2003	1703
	Arizona	4	2004	2004	1675
	Arizona	4	2005	2005	1831
	Arizona	4	2006	2006	2066
	Arizona	4	2007	2007	2051
	Arizona	4	2008	2008	2099
	Arizona	4	2009	2009	2097
	Arizona	4	2010	2010	2327
	Arizona	4	2011	2011	2348
	Arizona	4	2012	2012	2160
	Arizona	4	2013	2013	2383
	Arizona	4	2014	2014	2485
	Arizona	4	2015	2015	2943
	Arizona	4	2016	2016	3082
	Arizona	4	2017	2017	3058
	Arizona	4	2018	2018	3012
	Arizona	4	2019	2019	3047
	Arkansas	5	1999	1999	434
	Arkansas	5	2000	2000	430
	Arkansas	5	2001	2001	452
	Arkansas	5	2002	2002	551
	Arkansas	5	2003	2003	552
	Arkansas	5	2004	2004	622
	Arkansas	5	2005	2005	686
	Arkansas	5	2006	2006	783
	Arkansas	5	2007	2007	824
	Arkansas	5	2008	2008	893
	Arkansas	5	2009	2009	885
	Arkansas	5	2010	2010	955
	Arkansas	5	2011	2011	1002
	Arkansas	5	2012	2012	931
	Arkansas	5	2013	2013	918
	Arkansas	5	2014	2014	1193
	Arkansas	5	2015	2015	1457
	Arkansas	5	2016	2016	1475
	Arkansas	5	2017	2017	1436
	Arkansas	5	2018	2018	1457
	Arkansas	5	2019	2019	1507
	California	6	1999	1999	4532
