Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	3148
	Alabama	1	2000	2000	3183
	Alabama	1	2001	2001	2998
	Alabama	1	2002	2002	3201
	Alabama	1	2003	2003	3028
	Alabama	1	2004	2004	2986
	Alabama	1	2005	2005	2952
	Alabama	1	2006	2006	2740
	Alabama	1	2007	2007	2747
	Alabama	1	2008	2008	2863
	Alabama	1	2009	2009	2675
	Alabama	1	2010	2010	2619
	Alabama	1	2011	2011	2568
	Alabama	1	2012	2012	2628
	Alabama	1	2013	2013	2604
	Alabama	1	2014	2014	2663
	Alabama	1	2015	2015	2937
	Alabama	1	2016	2016	2967
	Alabama	1	2017	2017	2931
	Alabama	1	2018	2018	3088
	Alabama	1	2019	2019	3141
	Alaska	2	1999	1999	171
	Alaska	2	2000	2000	170
	Alaska	2	2001	2001	158
	Alaska	2	2002	2002	158
	Alaska	2	2003	2003	185
	Alaska	2	2004	2004	172
	Alaska	2	2005	2005	178
	Alaska	2	2006	2006	177
	Alaska	2	2007	2007	157
	Alaska	2	2008	2008	172
	Alaska	2	2009	2009	162
	Alaska	2	2010	2010	167
	Alaska	2	2011	2011	168
	Alaska	2	2012	2012	188
	Alaska	2	2013	2013	189
	Alaska	2	2014	2014	157
	Alaska	2	2015	2015	182
	Alaska	2	2016	2016	196
	Alaska	2	2017	2017	190
	Alaska	2	2018	2018	216
	Alaska	2	2019	2019	210
	Arizona	4	1999	1999	2600
	Arizona	4	2000	2000	2648
	Arizona	4	2001	2001	2480
	Arizona	4	2002	2002	2535
	Arizona	4	2003	2003	2428
	Arizona	4	2004	2004	2446
	Arizona	4	2005	2005	2364
	Arizona	4	2006	2006	2226
	Arizona	4	2007	2007	2207
	Arizona	4	2008	2008	2147
	Arizona	4	2009	2009	2072
	Arizona	4	2010	2010	2138
	Arizona	4	2011	2011	2148
	Arizona	4	2012	2012	2164
	Arizona	4	2013	2013	2162
	Arizona	4	2014	2014	2235
	Arizona	4	2015	2015	2522
	Arizona	4	2016	2016	2556
	Arizona	4	2017	2017	2681
	Arizona	4	2018	2018	2836
	Arizona	4	2019	2019	2851
	Arkansas	5	1999	1999	2255
	Arkansas	5	2000	2000	2255
	Arkansas	5	2001	2001	2256
	Arkansas	5	2002	2002	2232
	Arkansas	5	2003	2003	2107
	Arkansas	5	2004	2004	1948
	Arkansas	5	2005	2005	1847
	Arkansas	5	2006	2006	1884
	Arkansas	5	2007	2007	1873
	Arkansas	5	2008	2008	1722
	Arkansas	5	2009	2009	1694
	Arkansas	5	2010	2010	1741
	Arkansas	5	2011	2011	1692
	Arkansas	5	2012	2012	1664
	Arkansas	5	2013	2013	1637
	Arkansas	5	2014	2014	1583
	Arkansas	5	2015	2015	1653
	Arkansas	5	2016	2016	1643
	Arkansas	5	2017	2017	1612
	Arkansas	5	2018	2018	1551
	Arkansas	5	2019	2019	1561
	California	6	1999	1999	17962
	California	6	2000	2000	18185
	California	6	2001	2001	18088
	California	6	2002	2002	17626
	California	6	2003	2003	17692
	California	6	2004	2004	16882
	California	6	2005	2005	15585
	California	6	2006	2006	15039
	California	6	2007	2007	14557
	California	6	2008	2008	14048
	California	6	2009	2009	13506
	California	6	2010	2010	13662
	California	6	2011	2011	13503
	California	6	2012	2012	13542
	California	6	2013	2013	13698
	California	6	2014	2014	13731
	California	6	2015	2015	15065
	California	6	2016	2016	15680
	California	6	2017	2017	16355
	California	6	2018	2018	16457
	California	6	2019	2019	16851
	Colorado	8	1999	1999	1834
	Colorado	8	2000	2000	1907
	Colorado	8	2001	2001	1825
	Colorado	8	2002	2002	1915
	Colorado	8	2003	2003	1813
	Colorado	8	2004	2004	1638
	Colorado	8	2005	2005	1599
	Colorado	8	2006	2006	1532
	Colorado	8	2007	2007	1600
	Colorado	8	2008	2008	1565
	Colorado	8	2009	2009	1532
	Colorado	8	2010	2010	1607
	Colorado	8	2011	2011	1606
	Colorado	8	2012	2012	1576
	Colorado	8	2013	2013	1588
	Colorado	8	2014	2014	1714
	Colorado	8	2015	2015	1856
	Colorado	8	2016	2016	1927
	Colorado	8	2017	2017	1988
	Colorado	8	2018	2018	1996
	Colorado	8	2019	2019	1990
	Connecticut	9	1999	1999	1933
	Connecticut	9	2000	2000	2011
	Connecticut	9	2001	2001	2003
	Connecticut	9	2002	2002	1861
	Connecticut	9	2003	2003	1828
	Connecticut	9	2004	2004	1635
	Connecticut	9	2005	2005	1528
	Connecticut	9	2006	2006	1547
	Connecticut	9	2007	2007	1463
	Connecticut	9	2008	2008	1433
	Connecticut	9	2009	2009	1460
	Connecticut	9	2010	2010	1349
	Connecticut	9	2011	2011	1315
	Connecticut	9	2012	2012	1273
	Connecticut	9	2013	2013	1348
	Connecticut	9	2014	2014	1266
	Connecticut	9	2015	2015	1388
	Connecticut	9	2016	2016	1269
	Connecticut	9	2017	2017	1403
	Connecticut	9	2018	2018	1388
	Connecticut	9	2019	2019	1375
	Delaware	10	1999	1999	365
	Delaware	10	2000	2000	430
	Delaware	10	2001	2001	383
	Delaware	10	2002	2002	405
	Delaware	10	2003	2003	407
	Delaware	10	2004	2004	350
	Delaware	10	2005	2005	384
	Delaware	10	2006	2006	384
	Delaware	10	2007	2007	374
	Delaware	10	2008	2008	365
	Delaware	10	2009	2009	415
	Delaware	10	2010	2010	407
	Delaware	10	2011	2011	418
	Delaware	10	2012	2012	404
	Delaware	10	2013	2013	409
	Delaware	10	2014	2014	439
	Delaware	10	2015	2015	466
	Delaware	10	2016	2016	506
	Delaware	10	2017	2017	571
	Delaware	10	2018	2018	605
	Delaware	10	2019	2019	594
	District of Columbia	11	1999	1999	297
	District of Columbia	11	2000	2000	252
	District of Columbia	11	2001	2001	265
	District of Columbia	11	2002	2002	279
	District of Columbia	11	2003	2003	257
	District of Columbia	11	2004	2004	218
	District of Columbia	11	2005	2005	231
	District of Columbia	11	2006	2006	221
	District of Columbia	11	2007	2007	220
	District of Columbia	11	2008	2008	222
	District of Columbia	11	2009	2009	199
	District of Columbia	11	2010	2010	196
	District of Columbia	11	2011	2011	209
	District of Columbia	11	2012	2012	207
	District of Columbia	11	2013	2013	187
	District of Columbia	11	2014	2014	214
	District of Columbia	11	2015	2015	242
	District of Columbia	11	2016	2016	252
	District of Columbia	11	2017	2017	246
	District of Columbia	11	2018	2018	252
	District of Columbia	11	2019	2019	271
	Florida	12	1999	1999	10560
	Florida	12	2000	2000	10532
	Florida	12	2001	2001	10414
	Florida	12	2002	2002	10269
	Florida	12	2003	2003	9899
	Florida	12	2004	2004	9715
	Florida	12	2005	2005	9361
	Florida	12	2006	2006	8925
	Florida	12	2007	2007	8781
	Florida	12	2008	2008	8589
	Florida	12	2009	2009	8395
	Florida	12	2010	2010	8432
	Florida	12	2011	2011	8411
	Florida	12	2012	2012	8456
	Florida	12	2013	2013	8698
	Florida	12	2014	2014	9770
	Florida	12	2015	2015	11433
	Florida	12	2016	2016	11854
	Florida	12	2017	2017	12602
	Florida	12	2018	2018	13255
	Florida	12	2019	2019	13902
	Georgia	13	1999	1999	4416
	Georgia	13	2000	2000	4625
	Georgia	13	2001	2001	4312
	Georgia	13	2002	2002	4261
	Georgia	13	2003	2003	4301
	Georgia	13	2004	2004	4063
	Georgia	13	2005	2005	3854
	Georgia	13	2006	2006	3889
	Georgia	13	2007	2007	3894
	Georgia	13	2008	2008	3805
	Georgia	13	2009	2009	3732
	Georgia	13	2010	2010	3762
	Georgia	13	2011	2011	3564
	Georgia	13	2012	2012	3636
	Georgia	13	2013	2013	3694
	Georgia	13	2014	2014	3948
	Georgia	13	2015	2015	4335
	Georgia	13	2016	2016	4349
	Georgia	13	2017	2017	4399
	Georgia	13	2018	2018	4553
	Georgia	13	2019	2019	4539
	Hawaii	15	1999	1999	762
	Hawaii	15	2000	2000	747
	Hawaii	15	2001	2001	766
	Hawaii	15	2002	2002	812
	Hawaii	15	2003	2003	752
	Hawaii	15	2004	2004	714
	Hawaii	15	2005	2005	688
	Hawaii	15	2006	2006	665
	Hawaii	15	2007	2007	643
	Hawaii	15	2008	2008	642
	Hawaii	15	2009	2009	671
	Hawaii	15	2010	2010	605
	Hawaii	15	2011	2011	621
	Hawaii	15	2012	2012	634
	Hawaii	15	2013	2013	634
	Hawaii	15	2014	2014	655
	Hawaii	15	2015	2015	735
	Hawaii	15	2016	2016	675
	Hawaii	15	2017	2017	764
	Hawaii	15	2018	2018	786
	Hawaii	15	2019	2019	807
	Idaho	16	1999	1999	771
	Idaho	16	2000	2000	720
	Idaho	16	2001	2001	781
	Idaho	16	2002	2002	736
	Idaho	16	2003	2003	762
	Idaho	16	2004	2004	712
	Idaho	16	2005	2005	718
	Idaho	16	2006	2006	725
	Idaho	16	2007	2007	640
	Idaho	16	2008	2008	609
	Idaho	16	2009	2009	627
	Idaho	16	2010	2010	642
	Idaho	16	2011	2011	623
	Idaho	16	2012	2012	610
	Idaho	16	2013	2013	598
	Idaho	16	2014	2014	640
	Idaho	16	2015	2015	641
	Idaho	16	2016	2016	682
	Idaho	16	2017	2017	726
	Idaho	16	2018	2018	718
	Idaho	16	2019	2019	683
	Illinois	17	1999	1999	7714
	Illinois	17	2000	2000	7429
	Illinois	17	2001	2001	7230
	Illinois	17	2002	2002	7183
	Illinois	17	2003	2003	6909
	Illinois	17	2004	2004	6489
	Illinois	17	2005	2005	6252
	Illinois	17	2006	2006	5989
	Illinois	17	2007	2007	5864
	Illinois	17	2008	2008	5788
	Illinois	17	2009	2009	5258
	Illinois	17	2010	2010	5349
	Illinois	17	2011	2011	5372
	Illinois	17	2012	2012	5337
	Illinois	17	2013	2013	5294
	Illinois	17	2014	2014	5489
	Illinois	17	2015	2015	5709
	Illinois	17	2016	2016	5658
	Illinois	17	2017	2017	6020
	Illinois	17	2018	2018	5855
	Illinois	17	2019	2019	6153
	Indiana	18	1999	1999	4057
	Indiana	18	2000	2000	4247
	Indiana	18	2001	2001	3877
	Indiana	18	2002	2002	3717
	Indiana	18	2003	2003	3627
	Indiana	18	2004	2004	3454
	Indiana	18	2005	2005	3296
	Indiana	18	2006	2006	3238
	Indiana	18	2007	2007	3083
	Indiana	18	2008	2008	3114
	Indiana	18	2009	2009	3004
	Indiana	18	2010	2010	3082
	Indiana	18	2011	2011	3127
	Indiana	18	2012	2012	3073
	Indiana	18	2013	2013	2996
	Indiana	18	2014	2014	3107
	Indiana	18	2015	2015	2959
	Indiana	18	2016	2016	3040
	Indiana	18	2017	2017	3150
	Indiana	18	2018	2018	3151
	Indiana	18	2019	2019	3361
	Iowa	19	1999	1999	2317
	Iowa	19	2000	2000	2187
	Iowa	19	2001	2001	2218
	Iowa	19	2002	2002	2226
	Iowa	19	2003	2003	2081
	Iowa	19	2004	2004	1960
	Iowa	19	2005	2005	1902
	Iowa	19	2006	2006	1718
	Iowa	19	2007	2007	1686
	Iowa	19	2008	2008	1732
	Iowa	19	2009	2009	1635
	Iowa	19	2010	2010	1537
	Iowa	19	2011	2011	1432
	Iowa	19	2012	2012	1422
	Iowa	19	2013	2013	1409
	Iowa	19	2014	2014	1433
	Iowa	19	2015	2015	1418
	Iowa	19	2016	2016	1388
	Iowa	19	2017	2017	1416
	Iowa	19	2018	2018	1440
	Iowa	19	2019	2019	1412
	Kansas	20	1999	1999	1841
	Kansas	20	2000	2000	1830
	Kansas	20	2001	2001	1848
	Kansas	20	2002	2002	1845
	Kansas	20	2003	2003	1758
	Kansas	20	2004	2004	1611
	Kansas	20	2005	2005	1571
	Kansas	20	2006	2006	1489
	Kansas	20	2007	2007	1498
	Kansas	20	2008	2008	1574
