Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	2179
	Alabama	1	2000	2000	2057
	Alabama	1	2001	2001	2204
	Alabama	1	2002	2002	2328
	Alabama	1	2003	2003	2434
	Alabama	1	2004	2004	2361
	Alabama	1	2005	2005	2382
	Alabama	1	2006	2006	2309
	Alabama	1	2007	2007	2530
	Alabama	1	2008	2008	2733
	Alabama	1	2009	2009	2770
	Alabama	1	2010	2010	2866
	Alabama	1	2011	2011	2912
	Alabama	1	2012	2012	3015
	Alabama	1	2013	2013	3043
	Alabama	1	2014	2014	3050
	Alabama	1	2015	2015	3279
	Alabama	1	2016	2016	3326
	Alabama	1	2017	2017	3484
	Alabama	1	2018	2018	3596
	Alabama	1	2019	2019	3530
	Alaska	2	1999	1999	146
	Alaska	2	2000	2000	132
	Alaska	2	2001	2001	147
	Alaska	2	2002	2002	142
	Alaska	2	2003	2003	147
	Alaska	2	2004	2004	139
	Alaska	2	2005	2005	158
	Alaska	2	2006	2006	140
	Alaska	2	2007	2007	175
	Alaska	2	2008	2008	181
	Alaska	2	2009	2009	196
	Alaska	2	2010	2010	176
	Alaska	2	2011	2011	194
	Alaska	2	2012	2012	189
	Alaska	2	2013	2013	197
	Alaska	2	2014	2014	192
	Alaska	2	2015	2015	204
	Alaska	2	2016	2016	238
	Alaska	2	2017	2017	204
	Alaska	2	2018	2018	222
	Alaska	2	2019	2019	202
	Arizona	4	1999	1999	2553
	Arizona	4	2000	2000	2508
	Arizona	4	2001	2001	2499
	Arizona	4	2002	2002	2575
	Arizona	4	2003	2003	2560
	Arizona	4	2004	2004	2416
	Arizona	4	2005	2005	2821
	Arizona	4	2006	2006	2799
	Arizona	4	2007	2007	2686
	Arizona	4	2008	2008	2939
	Arizona	4	2009	2009	2839
	Arizona	4	2010	2010	2926
	Arizona	4	2011	2011	3166
	Arizona	4	2012	2012	3221
	Arizona	4	2013	2013	3345
	Arizona	4	2014	2014	3396
	Arizona	4	2015	2015	3681
	Arizona	4	2016	2016	3800
	Arizona	4	2017	2017	3802
	Arizona	4	2018	2018	3832
	Arizona	4	2019	2019	3685
	Arkansas	5	1999	1999	1358
	Arkansas	5	2000	2000	1405
	Arkansas	5	2001	2001	1368
	Arkansas	5	2002	2002	1441
	Arkansas	5	2003	2003	1500
	Arkansas	5	2004	2004	1428
	Arkansas	5	2005	2005	1559
	Arkansas	5	2006	2006	1498
	Arkansas	5	2007	2007	1656
	Arkansas	5	2008	2008	1887
	Arkansas	5	2009	2009	1831
	Arkansas	5	2010	2010	1773
	Arkansas	5	2011	2011	1985
	Arkansas	5	2012	2012	1910
	Arkansas	5	2013	2013	2090
	Arkansas	5	2014	2014	2092
	Arkansas	5	2015	2015	2270
	Arkansas	5	2016	2016	2169
	Arkansas	5	2017	2017	2517
	Arkansas	5	2018	2018	2385
	Arkansas	5	2019	2019	2364
	California	6	1999	1999	13165
	California	6	2000	2000	12756
	California	6	2001	2001	12965
	California	6	2002	2002	12684
	California	6	2003	2003	13448
	California	6	2004	2004	12522
	California	6	2005	2005	13188
	California	6	2006	2006	12829
	California	6	2007	2007	12532
	California	6	2008	2008	13426
	California	6	2009	2009	12936
	California	6	2010	2010	12987
	California	6	2011	2011	13357
	California	6	2012	2012	12963
	California	6	2013	2013	13598
	California	6	2014	2014	12780
	California	6	2015	2015	13621
	California	6	2016	2016	13710
	California	6	2017	2017	13881
