Notes	State	State Code	Year	Year Code	Deaths	Population
	Alabama	1	1999	1999	1341	4430141
	Alabama	1	2000	2000	1321	4447100
	Alabama	1	2001	2001	1344	4467634
	Alabama	1	2002	2002	1486	4480089
	Alabama	1	2003	2003	1414	4503491
	Alabama	1	2004	2004	1449	4530729
	Alabama	1	2005	2005	1429	4569805
	Alabama	1	2006	2006	1453	4628981
	Alabama	1	2007	2007	1313	4672840
	Alabama	1	2008	2008	1386	4718206
	Alabama	1	2009	2009	1259	4757938
	Alabama	1	2010	2010	1302	4779736
	Alabama	1	2011	2011	1278	4802740
	Alabama	1	2012	2012	1300	4822023
	Alabama	1	2013	2013	1349	4833722
	Alabama	1	2014	2014	1281	4849377
	Alabama	1	2015	2015	1255	4858979
	Alabama	1	2016	2016	1183	4863300
	Alabama	1	2017	2017	1173	4874747
	Alabama	1	2018	2018	1176	4887871
	Alabama	1	2019	2019	1224	4903185
	Alaska	2	1999	1999	67	624779
	Alaska	2	2000	2000	87	626932
	Alaska	2	2001	2001	80	633714
	Alaska	2	2002	2002	86	642337
	Alaska	2	2003	2003	102	648414
	Alaska	2	2004	2004	93	659286
	Alaska	2	2005	2005	93	666946
	Alaska	2	2006	2006	109	675302
	Alaska	2	2007	2007	105	680300
	Alaska	2	2008	2008	93	687455
	Alaska	2	2009	2009	84	698895
	Alaska	2	2010	2010	86	710231
	Alaska	2	2011	2011	107	722718
	Alaska	2	2012	2012	107	731449
	Alaska	2	2013	2013	112	735132
	Alaska	2	2014	2014	113	736732
	Alaska	2	2015	2015	142	738432
	Alaska	2	2016	2016	124	741894
	Alaska	2	2017	2017	130	739795
	Alaska	2	2018	2018	122	737438
	Alaska	2	2019	2019	111	731545
	Arizona	4	1999	1999	1063	5023823
	Arizona	4	2000	2000	1012	5130632
	Arizona	4	2001	2001	1058	5273477
	Arizona	4	2002	2002	1231	5396255
	Arizona	4	2003	2003	1153	5510364
	Arizona	4	2004	2004	1196	5652404
	Arizona	4	2005	2005	1208	5839077
	Arizona	4	2006	2006	1206	6029141
	Arizona	4	2007	2007	1159	6167681
	Arizona	4	2008	2008	1173	6280362
	Arizona	4	2009	2009	1083	6343154
