Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	13419
	Alabama	1	2000	2000	13406
	Alabama	1	2001	2001	13207
	Alabama	1	2002	2002	13197
	Alabama	1	2003	2003	13150
	Alabama	1	2004	2004	12774
	Alabama	1	2005	2005	12869
	Alabama	1	2006	2006	12583
	Alabama	1	2007	2007	11926
	Alabama	1	2008	2008	12074
	Alabama	1	2009	2009	12021
	Alabama	1	2010	2010	12083
	Alabama	1	2011	2011	11942
	Alabama	1	2012	2012	12036
	Alabama	1	2013	2013	12472
	Alabama	1	2014	2014	12461
	Alabama	1	2015	2015	12981
	Alabama	1	2016	2016	12832
	Alabama	1	2017	2017	13110
	Alabama	1	2018	2018	13473
	Alabama	1	2019	2019	13448
	Alaska	2	1999	1999	563
	Alaska	2	2000	2000	607
	Alaska	2	2001	2001	603
	Alaska	2	2002	2002	567
	Alaska	2	2003	2003	626
	Alaska	2	2004	2004	589
	Alaska	2	2005	2005	627
	Alaska	2	2006	2006	645
	Alaska	2	2007	2007	613
	Alaska	2	2008	2008	634
	Alaska	2	2009	2009	714
	Alaska	2	2010	2010	707
	Alaska	2	2011	2011	739
	Alaska	2	2012	2012	708
	Alaska	2	2013	2013	706
	Alaska	2	2014	2014	782
	Alaska	2	2015	2015	846
	Alaska	2	2016	2016	831
	Alaska	2	2017	2017	814
	Alaska	2	2018	2018	815
	Alaska	2	2019	2019	843
	Arizona	4	1999	1999	10800
	Arizona	4	2000	2000	10584
	Arizona	4	2001	2001	10588
	Arizona	4	2002	2002	10852
	Arizona	4	2003	2003	10887
	Arizona	4	2004	2004	10539
	Arizona	4	2005	2005	10966
	Arizona	4	2006	2006	10607
	Arizona	4	2007	2007	10302
	Arizona	4	2008	2008	10385
	Arizona	4	2009	2009	10273
	Arizona	4	2010	2010	9954
	Arizona	4	2011	2011	10662
	Arizona	4	2012	2012	10689
	Arizona	4	2013	2013	10755
	Arizona	4	2014	2014	10805
	Arizona	4	2015	2015	11458
	Arizona	4	2016	2016	11957
	Arizona	4	2017	2017	12398
	Arizona	4	2018	2018	12455
	Arizona	4	2019	2019	12587
	Arkansas	5	1999	1999	8315
	Arkansas	5	2000	2000	8278
	Arkansas	5	2001	2001	8263
	Arkansas	5	2002	2002	8330
	Arkansas	5	2003	2003	7786
	Arkansas	5	2004	2004	7534
	Arkansas	5	2005	2005	7575
	Arkansas	5	2006	2006	7431
	Arkansas	5	2007	2007	7214
	Arkansas	5	2008	2008	7516
	Arkansas	5	2009	2009	7295
	Arkansas	5	2010	2010	7274
	Arkansas	5	2011	2011	7168
	Arkansas	5	2012	2012	7407
	Arkansas	5	2013	2013	7377
	Arkansas	5	2014	2014	7581
	Arkansas	5	2015	2015	7938
	Arkansas	5	2016	2016	8090
	Arkansas	5	2017	2017	8270
	Arkansas	5	2018	2018	8171
	Arkansas	5	2019	2019	8669
	California	6	1999	1999	71930
	California	6	2000	2000	68426
	California	6	2001	2001	68234
	California	6	2002	2002	68797
	California	6	2003	2003	68864
	California	6	2004	2004	64999
	California	6	2005	2005	64916
	California	6	2006	2006	64871
	California	6	2007	2007	61690
	California	6	2008	2008	60709
	California	6	2009	2009	59206
	California	6	2010	2010	58641
	California	6	2011	2011	59772
	California	6	2012	2012	59371
	California	6	2013	2013	60299
	California	6	2014	2014	58189
	California	6	2015	2015	61289
	California	6	2016	2016	61573
	California	6	2017	2017	62797
	California	6	2018	2018	62547
	California	6	2019	2019	62394
	Colorado	8	1999	1999	6420
	Colorado	8	2000	2000	6184
	Colorado	8	2001	2001	6293
	Colorado	8	2002	2002	6425
	Colorado	8	2003	2003	6499
	Colorado	8	2004	2004	6079
	Colorado	8	2005	2005	6307
	Colorado	8	2006	2006	6124
	Colorado	8	2007	2007	6106
	Colorado	8	2008	2008	6118
	Colorado	8	2009	2009	6093
	Colorado	8	2010	2010	6038
	Colorado	8	2011	2011	6177
	Colorado	8	2012	2012	6311
	Colorado	8	2013	2013	6456
	Colorado	8	2014	2014	6900
	Colorado	8	2015	2015	7009
	Colorado	8	2016	2016	7277
	Colorado	8	2017	2017	7060
	Colorado	8	2018	2018	7370
	Colorado	8	2019	2019	7762
	Connecticut	9	1999	1999	9127
	Connecticut	9	2000	2000	8993
	Connecticut	9	2001	2001	8582
	Connecticut	9	2002	2002	8815
	Connecticut	9	2003	2003	8389
	Connecticut	9	2004	2004	7868
	Connecticut	9	2005	2005	7650
	Connecticut	9	2006	2006	7490
	Connecticut	9	2007	2007	7289
	Connecticut	9	2008	2008	7355
	Connecticut	9	2009	2009	7105
	Connecticut	9	2010	2010	7127
	Connecticut	9	2011	2011	7206
	Connecticut	9	2012	2012	7282
	Connecticut	9	2013	2013	7090
	Connecticut	9	2014	2014	7018
	Connecticut	9	2015	2015	7205
	Connecticut	9	2016	2016	7051
	Connecticut	9	2017	2017	7138
	Connecticut	9	2018	2018	7205
	Connecticut	9	2019	2019	7354
	Delaware	10	1999	1999	2011
	Delaware	10	2000	2000	1983
	Delaware	10	2001	2001	2033
	Delaware	10	2002	2002	1918
	Delaware	10	2003	2003	2027
	Delaware	10	2004	2004	2015
	Delaware	10	2005	2005	2031
	Delaware	10	2006	2006	1866
	Delaware	10	2007	2007	1914
	Delaware	10	2008	2008	1777
	Delaware	10	2009	2009	1796
	Delaware	10	2010	2010	1776
	Delaware	10	2011	2011	1809
	Delaware	10	2012	2012	1790
	Delaware	10	2013	2013	1861
	Delaware	10	2014	2014	1921
	Delaware	10	2015	2015	1940
	Delaware	10	2016	2016	1974
	Delaware	10	2017	2017	1990
	Delaware	10	2018	2018	2030
	Delaware	10	2019	2019	2053
	District of Columbia	11	1999	1999	1652
	District of Columbia	11	2000	2000	1756
	District of Columbia	11	2001	2001	1761
	District of Columbia	11	2002	2002	1666
	District of Columbia	11	2003	2003	1630
	District of Columbia	11	2004	2004	1544
	District of Columbia	11	2005	2005	1518
	District of Columbia	11	2006	2006	1566
	District of Columbia	11	2007	2007	1434
	District of Columbia	11	2008	2008	1389
	District of Columbia	11	2009	2009	1288
	District of Columbia	11	2010	2010	1306
	District of Columbia	11	2011	2011	1171
	District of Columbia	11	2012	2012	1298
	District of Columbia	11	2013	2013	1340
	District of Columbia	11	2014	2014	1324
	District of Columbia	11	2015	2015	1217
	District of Columbia	11	2016	2016	1375
	District of Columbia	11	2017	2017	1284
	District of Columbia	11	2018	2018	1295
	District of Columbia	11	2019	2019	1187
	Florida	12	1999	1999	51434
	Florida	12	2000	2000	50336
	Florida	12	2001	2001	50629
	Florida	12	2002	2002	49235
	Florida	12	2003	2003	48141
	Florida	12	2004	2004	47160
	Florida	12	2005	2005	46279
	Florida	12	2006	2006	44305
	Florida	12	2007	2007	42254
	Florida	12	2008	2008	42067
	Florida	12	2009	2009	41274
	Florida	12	2010	2010	41737
	Florida	12	2011	2011	40919
	Florida	12	2012	2012	42125
	Florida	12	2013	2013	42656
	Florida	12	2014	2014	44511
	Florida	12	2015	2015	45441
	Florida	12	2016	2016	45659
	Florida	12	2017	2017	46440
	Florida	12	2018	2018	47027
	Florida	12	2019	2019	47144
	Georgia	13	1999	1999	17597
	Georgia	13	2000	2000	17406
	Georgia	13	2001	2001	17478
	Georgia	13	2002	2002	17529
	Georgia	13	2003	2003	17188
	Georgia	13	2004	2004	16557
	Georgia	13	2005	2005	16781
	Georgia	13	2006	2006	16478
	Georgia	13	2007	2007	16184
	Georgia	13	2008	2008	15721
	Georgia	13	2009	2009	16165
	Georgia	13	2010	2010	15987
	Georgia	13	2011	2011	15773
	Georgia	13	2012	2012	15825
	Georgia	13	2013	2013	16550
	Georgia	13	2014	2014	17107
	Georgia	13	2015	2015	17769
	Georgia	13	2016	2016	18143
	Georgia	13	2017	2017	18389
	Georgia	13	2018	2018	18986
	Georgia	13	2019	2019	19543
	Hawaii	15	1999	1999	2410
	Hawaii	15	2000	2000	2390
	Hawaii	15	2001	2001	2310
	Hawaii	15	2002	2002	2512
	Hawaii	15	2003	2003	2461
	Hawaii	15	2004	2004	2457
	Hawaii	15	2005	2005	2319
	Hawaii	15	2006	2006	2244
	Hawaii	15	2007	2007	2227
	Hawaii	15	2008	2008	2313
	Hawaii	15	2009	2009	2363
	Hawaii	15	2010	2010	2239
	Hawaii	15	2011	2011	2312
	Hawaii	15	2012	2012	2430
	Hawaii	15	2013	2013	2521
	Hawaii	15	2014	2014	2528
	Hawaii	15	2015	2015	2605
	Hawaii	15	2016	2016	2488
	Hawaii	15	2017	2017	2575
	Hawaii	15	2018	2018	2570
	Hawaii	15	2019	2019	2503
	Idaho	16	1999	1999	2532
	Idaho	16	2000	2000	2519
	Idaho	16	2001	2001	2489
	Idaho	16	2002	2002	2532
	Idaho	16	2003	2003	2566
	Idaho	16	2004	2004	2450
	Idaho	16	2005	2005	2450
	Idaho	16	2006	2006	2399
	Idaho	16	2007	2007	2433
	Idaho	16	2008	2008	2330
	Idaho	16	2009	2009	2398
	Idaho	16	2010	2010	2495
	Idaho	16	2011	2011	2522
	Idaho	16	2012	2012	2515
	Idaho	16	2013	2013	2495
	Idaho	16	2014	2014	2676
	Idaho	16	2015	2015	2825
	Idaho	16	2016	2016	2969
	Idaho	16	2017	2017	3084
	Idaho	16	2018	2018	3122
	Idaho	16	2019	2019	3061
	Illinois	17	1999	1999	33387
	Illinois	17	2000	2000	31844
	Illinois	17	2001	2001	30990
	Illinois	17	2002	2002	30821
	Illinois	17	2003	2003	29816
	Illinois	17	2004	2004	28284
	Illinois	17	2005	2005	28226
	Illinois	17	2006	2006	27007
	Illinois	17	2007	2007	25813
	Illinois	17	2008	2008	26078
	Illinois	17	2009	2009	24931
	Illinois	17	2010	2010	24959
	Illinois	17	2011	2011	24987
	Illinois	17	2012	2012	24667
	Illinois	17	2013	2013	24839
	Illinois	17	2014	2014	25024
	Illinois	17	2015	2015	25652
	Illinois	17	2016	2016	25013
	Illinois	17	2017	2017	25394
	Illinois	17	2018	2018	25755
	Illinois	17	2019	2019	25690
	Indiana	18	1999	1999	16661
	Indiana	18	2000	2000	16210
	Indiana	18	2001	2001	15682
	Indiana	18	2002	2002	15321
	Indiana	18	2003	2003	15467
	Indiana	18	2004	2004	14636
	Indiana	18	2005	2005	14542
	Indiana	18	2006	2006	14375
	Indiana	18	2007	2007	13682
	Indiana	18	2008	2008	13663
	Indiana	18	2009	2009	13509
	Indiana	18	2010	2010	13388
	Indiana	18	2011	2011	13372
	Indiana	18	2012	2012	13675
	Indiana	18	2013	2013	13773
	Indiana	18	2014	2014	13764
	Indiana	18	2015	2015	13948
	Indiana	18	2016	2016	13952
	Indiana	18	2017	2017	14445
	Indiana	18	2018	2018	14532
	Indiana	18	2019	2019	14555
	Iowa	19	1999	1999	8699
	Iowa	19	2000	2000	8559
	Iowa	19	2001	2001	8250
	Iowa	19	2002	2002	8181
	Iowa	19	2003	2003	7840
	Iowa	19	2004	2004	7299
	Iowa	19	2005	2005	7437
	Iowa	19	2006	2006	7172
	Iowa	19	2007	2007	6880
	Iowa	19	2008	2008	7284
	Iowa	19	2009	2009	6938
	Iowa	19	2010	2010	6880
	Iowa	19	2011	2011	6736
	Iowa	19	2012	2012	7005
	Iowa	19	2013	2013	6995
	Iowa	19	2014	2014	6615
	Iowa	19	2015	2015	6813
	Iowa	19	2016	2016	6937
	Iowa	19	2017	2017	7180
	Iowa	19	2018	2018	7185
	Iowa	19	2019	2019	7505
	Kansas	20	1999	1999	6975
	Kansas	20	2000	2000	6931
	Kansas	20	2001	2001	6716
	Kansas	20	2002	2002	6680
	Kansas	20	2003	2003	6491
	Kansas	20	2004	2004	6048
	Kansas	20	2005	2005	5960
	Kansas	20	2006	2006	5849
	Kansas	20	2007	2007	5749
	Kansas	20	2008	2008	5643
	Kansas	20	2009	2009	5294
	Kansas	20	2010	2010	5433
	Kansas	20	2011	2011	5327
	Kansas	20	2012	2012	5366
	Kansas	20	2013	2013	5364
	Kansas	20	2014	2014	5479
	Kansas	20	2015	2015	5624
	Kansas	20	2016	2016	5672
	Kansas	20	2017	2017	5723
	Kansas	20	2018	2018	5823
	Kansas	20	2019	2019	6140
	Kentucky	21	1999	1999	12098
	Kentucky	21	2000	2000	11936
	Kentucky	21	2001	2001	11808
	Kentucky	21	2002	2002	11696
	Kentucky	21	2003	2003	11319
