Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	1228
	Alabama	1	2000	2000	1138
	Alabama	1	2001	2001	1105
	Alabama	1	2002	2002	1218
	Alabama	1	2003	2003	1157
	Alabama	1	2004	2004	994
	Alabama	1	2005	2005	1011
	Alabama	1	2006	2006	918
	Alabama	1	2007	2007	898
	Alabama	1	2008	2008	912
	Alabama	1	2009	2009	952
	Alabama	1	2010	2010	942
	Alabama	1	2011	2011	951
	Alabama	1	2012	2012	942
	Alabama	1	2013	2013	1035
	Alabama	1	2014	2014	1031
	Alabama	1	2015	2015	1097
	Alabama	1	2016	2016	987
	Alabama	1	2017	2017	1176
	Alabama	1	2018	2018	1268
	Alabama	1	2019	2019	1018
	Alaska	2	1999	1999	46
	Alaska	2	2000	2000	45
	Alaska	2	2001	2001	36
	Alaska	2	2002	2002	51
	Alaska	2	2003	2003	60
	Alaska	2	2004	2004	42
	Alaska	2	2005	2005	44
	Alaska	2	2006	2006	49
	Alaska	2	2007	2007	48
	Alaska	2	2008	2008	51
	Alaska	2	2009	2009	51
	Alaska	2	2010	2010	64
	Alaska	2	2011	2011	58
	Alaska	2	2012	2012	52
	Alaska	2	2013	2013	66
	Alaska	2	2014	2014	68
	Alaska	2	2015	2015	41
	Alaska	2	2016	2016	61
	Alaska	2	2017	2017	66
	Alaska	2	2018	2018	68
	Alaska	2	2019	2019	45
	Arizona	4	1999	1999	1287
	Arizona	4	2000	2000	1222
	Arizona	4	2001	2001	1133
	Arizona	4	2002	2002	1319
	Arizona	4	2003	2003	1286
	Arizona	4	2004	2004	1111
	Arizona	4	2005	2005	1297
	Arizona	4	2006	2006	1166
	Arizona	4	2007	2007	905
	Arizona	4	2008	2008	1068
	Arizona	4	2009	2009	1058
	Arizona	4	2010	2010	768
	Arizona	4	2011	2011	690
	Arizona	4	2012	2012	683
	Arizona	4	2013	2013	776
	Arizona	4	2014	2014	779
	Arizona	4	2015	2015	775
	Arizona	4	2016	2016	885
	Arizona	4	2017	2017	876
	Arizona	4	2018	2018	1116
	Arizona	4	2019	2019	955
	Arkansas	5	1999	1999	741
	Arkansas	5	2000	2000	798
	Arkansas	5	2001	2001	735
	Arkansas	5	2002	2002	776
	Arkansas	5	2003	2003	921
	Arkansas	5	2004	2004	759
	Arkansas	5	2005	2005	886
	Arkansas	5	2006	2006	772
	Arkansas	5	2007	2007	734
	Arkansas	5	2008	2008	846
	Arkansas	5	2009	2009	705
	Arkansas	5	2010	2010	647
	Arkansas	5	2011	2011	727
	Arkansas	5	2012	2012	734
	Arkansas	5	2013	2013	794
	Arkansas	5	2014	2014	710
	Arkansas	5	2015	2015	700
	Arkansas	5	2016	2016	623
	Arkansas	5	2017	2017	720
	Arkansas	5	2018	2018	670
	Arkansas	5	2019	2019	623
	California	6	1999	1999	4560
	California	6	2000	2000	8324
	California	6	2001	2001	8129
	California	6	2002	2002	8128
	California	6	2003	2003	8185
	California	6	2004	2004	7323
	California	6	2005	2005	7553
	California	6	2006	2006	7338
	California	6	2007	2007	6546
	California	6	2008	2008	6560
	California	6	2009	2009	6394
	California	6	2010	2010	5882
	California	6	2011	2011	6200
	California	6	2012	2012	5849
	California	6	2013	2013	6551
	California	6	2014	2014	5970
	California	6	2015	2015	6188
	California	6	2016	2016	5981
	California	6	2017	2017	6340
	California	6	2018	2018	6917
	California	6	2019	2019	5664
	Colorado	8	1999	1999	807
	Colorado	8	2000	2000	607
	Colorado	8	2001	2001	650
	Colorado	8	2002	2002	752
	Colorado	8	2003	2003	810
	Colorado	8	2004	2004	637
	Colorado	8	2005	2005	666
	Colorado	8	2006	2006	614
	Colorado	8	2007	2007	592
	Colorado	8	2008	2008	678
	Colorado	8	2009	2009	658
	Colorado	8	2010	2010	550
	Colorado	8	2011	2011	618
	Colorado	8	2012	2012	525
	Colorado	8	2013	2013	606
	Colorado	8	2014	2014	701
	Colorado	8	2015	2015	659
	Colorado	8	2016	2016	533
	Colorado	8	2017	2017	577
	Colorado	8	2018	2018	568
	Colorado	8	2019	2019	468
	Connecticut	9	1999	1999	885
	Connecticut	9	2000	2000	890
	Connecticut	9	2001	2001	854
	Connecticut	9	2002	2002	888
	Connecticut	9	2003	2003	860
	Connecticut	9	2004	2004	868
	Connecticut	9	2005	2005	956
	Connecticut	9	2006	2006	800
	Connecticut	9	2007	2007	776
	Connecticut	9	2008	2008	694
	Connecticut	9	2009	2009	696
	Connecticut	9	2010	2010	568
	Connecticut	9	2011	2011	696
	Connecticut	9	2012	2012	558
	Connecticut	9	2013	2013	604
	Connecticut	9	2014	2014	644
	Connecticut	9	2015	2015	667
	Connecticut	9	2016	2016	572
	Connecticut	9	2017	2017	675
	Connecticut	9	2018	2018	757
	Connecticut	9	2019	2019	563
	Delaware	10	1999	1999	155
	Delaware	10	2000	2000	229
	Delaware	10	2001	2001	181
	Delaware	10	2002	2002	168
	Delaware	10	2003	2003	127
	Delaware	10	2004	2004	145
	Delaware	10	2005	2005	162
	Delaware	10	2006	2006	138
	Delaware	10	2007	2007	117
	Delaware	10	2008	2008	135
	Delaware	10	2009	2009	132
	Delaware	10	2010	2010	138
	Delaware	10	2011	2011	133
	Delaware	10	2012	2012	121
	Delaware	10	2013	2013	150
	Delaware	10	2014	2014	156
	Delaware	10	2015	2015	189
	Delaware	10	2016	2016	132
	Delaware	10	2017	2017	184
	Delaware	10	2018	2018	167
	Delaware	10	2019	2019	132
	District of Columbia	11	1999	1999	116
	District of Columbia	11	2000	2000	111
	District of Columbia	11	2001	2001	86
	District of Columbia	11	2002	2002	81
	District of Columbia	11	2003	2003	87
	District of Columbia	11	2004	2004	91
	District of Columbia	11	2005	2005	98
	District of Columbia	11	2006	2006	76
	District of Columbia	11	2007	2007	82
	District of Columbia	11	2008	2008	78
	District of Columbia	11	2009	2009	73
	District of Columbia	11	2010	2010	80
	District of Columbia	11	2011	2011	96
	District of Columbia	11	2012	2012	76
	District of Columbia	11	2013	2013	83
	District of Columbia	11	2014	2014	74
	District of Columbia	11	2015	2015	104
	District of Columbia	11	2016	2016	78
	District of Columbia	11	2017	2017	79
	District of Columbia	11	2018	2018	79
	District of Columbia	11	2019	2019	78
