Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	9506
	Alabama	1	2000	2000	9807
	Alabama	1	2001	2001	9801
	Alabama	1	2002	2002	9698
	Alabama	1	2003	2003	9812
	Alabama	1	2004	2004	9756
	Alabama	1	2005	2005	9913
	Alabama	1	2006	2006	9899
	Alabama	1	2007	2007	10025
	Alabama	1	2008	2008	10182
	Alabama	1	2009	2009	10289
	Alabama	1	2010	2010	10196
	Alabama	1	2011	2011	10233
	Alabama	1	2012	2012	10276
	Alabama	1	2013	2013	10328
	Alabama	1	2014	2014	10286
	Alabama	1	2015	2015	10354
	Alabama	1	2016	2016	10419
	Alabama	1	2017	2017	10410
	Alabama	1	2018	2018	10632
	Alabama	1	2019	2019	10266
	Alaska	2	1999	1999	633
	Alaska	2	2000	2000	704
	Alaska	2	2001	2001	689
	Alaska	2	2002	2002	715
	Alaska	2	2003	2003	735
	Alaska	2	2004	2004	728
	Alaska	2	2005	2005	732
	Alaska	2	2006	2006	790
	Alaska	2	2007	2007	839
	Alaska	2	2008	2008	867
	Alaska	2	2009	2009	895
	Alaska	2	2010	2010	884
	Alaska	2	2011	2011	935
	Alaska	2	2012	2012	925
	Alaska	2	2013	2013	1016
	Alaska	2	2014	2014	972
	Alaska	2	2015	2015	978
	Alaska	2	2016	2016	995
	Alaska	2	2017	2017	926
	Alaska	2	2018	2018	957
	Alaska	2	2019	2019	1021
	Arizona	4	1999	1999	9006
	Arizona	4	2000	2000	9073
	Arizona	4	2001	2001	9143
	Arizona	4	2002	2002	9359
	Arizona	4	2003	2003	9627
	Arizona	4	2004	2004	9618
	Arizona	4	2005	2005	9820
	Arizona	4	2006	2006	9919
	Arizona	4	2007	2007	10134
	Arizona	4	2008	2008	10081
	Arizona	4	2009	2009	10271
	Arizona	4	2010	2010	10678
	Arizona	4	2011	2011	10690
	Arizona	4	2012	2012	11085
	Arizona	4	2013	2013	11347
	Arizona	4	2014	2014	11455
	Arizona	4	2015	2015	11776
	Arizona	4	2016	2016	11876
	Arizona	4	2017	2017	12008
	Arizona	4	2018	2018	12113
	Arizona	4	2019	2019	12503
	Arkansas	5	1999	1999	6137
	Arkansas	5	2000	2000	6090
	Arkansas	5	2001	2001	6092
	Arkansas	5	2002	2002	6282
	Arkansas	5	2003	2003	6119
	Arkansas	5	2004	2004	6304
	Arkansas	5	2005	2005	6361
	Arkansas	5	2006	2006	6177
	Arkansas	5	2007	2007	6388
	Arkansas	5	2008	2008	6526
	Arkansas	5	2009	2009	6513
	Arkansas	5	2010	2010	6475
	Arkansas	5	2011	2011	6497
	Arkansas	5	2012	2012	6540
	Arkansas	5	2013	2013	6688
	Arkansas	5	2014	2014	6546
	Arkansas	5	2015	2015	6727
	Arkansas	5	2016	2016	6612
	Arkansas	5	2017	2017	6517
	Arkansas	5	2018	2018	6491
	Arkansas	5	2019	2019	6482
	California	6	1999	1999	53067
	California	6	2000	2000	53158
	California	6	2001	2001	53924
	California	6	2002	2002	54143
	California	6	2003	2003	54319
	California	6	2004	2004	53700
	California	6	2005	2005	54732
	California	6	2006	2006	54140
	California	6	2007	2007	55011
	California	6	2008	2008	54686
	California	6	2009	2009	55991
	California	6	2010	2010	56453
	California	6	2011	2011	56449
	California	6	2012	2012	57676
	California	6	2013	2013	57714
	California	6	2014	2014	58412
	California	6	2015	2015	59629
	California	6	2016	2016	59515
	California	6	2017	2017	59516
	California	6	2018	2018	59962
	California	6	2019	2019	59512
	Colorado	8	1999	1999	5863
	Colorado	8	2000	2000	5922
	Colorado	8	2001	2001	6145
	Colorado	8	2002	2002	6384
	Colorado	8	2003	2003	6417
	Colorado	8	2004	2004	6196
	Colorado	8	2005	2005	6395
	Colorado	8	2006	2006	6550
	Colorado	8	2007	2007	6617
	Colorado	8	2008	2008	6719
	Colorado	8	2009	2009	6950
	Colorado	8	2010	2010	7035
	Colorado	8	2011	2011	7051
	Colorado	8	2012	2012	7306
	Colorado	8	2013	2013	7357
	Colorado	8	2014	2014	7405
	Colorado	8	2015	2015	7604
	Colorado	8	2016	2016	7928
	Colorado	8	2017	2017	7829
	Colorado	8	2018	2018	7812
	Colorado	8	2019	2019	7986
	Connecticut	9	1999	1999	7054
	Connecticut	9	2000	2000	7065
	Connecticut	9	2001	2001	7093
	Connecticut	9	2002	2002	7163
	Connecticut	9	2003	2003	7131
	Connecticut	9	2004	2004	7175
	Connecticut	9	2005	2005	7052
	Connecticut	9	2006	2006	7044
	Connecticut	9	2007	2007	6827
	Connecticut	9	2008	2008	6830
	Connecticut	9	2009	2009	6819
	Connecticut	9	2010	2010	6954
	Connecticut	9	2011	2011	6837
	Connecticut	9	2012	2012	6681
	Connecticut	9	2013	2013	6619
	Connecticut	9	2014	2014	6621
	Connecticut	9	2015	2015	6666
	Connecticut	9	2016	2016	6696
	Connecticut	9	2017	2017	6608
	Connecticut	9	2018	2018	6472
	Connecticut	9	2019	2019	6496
	Delaware	10	1999	1999	1737
	Delaware	10	2000	2000	1609
	Delaware	10	2001	2001	1786
	Delaware	10	2002	2002	1621
	Delaware	10	2003	2003	1719
	Delaware	10	2004	2004	1827
	Delaware	10	2005	2005	1799
	Delaware	10	2006	2006	1780
	Delaware	10	2007	2007	1853
	Delaware	10	2008	2008	1912
	Delaware	10	2009	2009	1813
	Delaware	10	2010	2010	1909
	Delaware	10	2011	2011	1906
	Delaware	10	2012	2012	1935
	Delaware	10	2013	2013	1905
	Delaware	10	2014	2014	1972
	Delaware	10	2015	2015	2010
	Delaware	10	2016	2016	2124
	Delaware	10	2017	2017	2085
	Delaware	10	2018	2018	2101
	Delaware	10	2019	2019	2074
	District of Columbia	11	1999	1999	1340
	District of Columbia	11	2000	2000	1335
	District of Columbia	11	2001	2001	1327
	District of Columbia	11	2002	2002	1298
	District of Columbia	11	2003	2003	1122
	District of Columbia	11	2004	2004	1152
	District of Columbia	11	2005	2005	1151
	District of Columbia	11	2006	2006	1178
	District of Columbia	11	2007	2007	1169
	District of Columbia	11	2008	2008	1143
	District of Columbia	11	2009	2009	1131
	District of Columbia	11	2010	2010	1041
	District of Columbia	11	2011	2011	1070
	District of Columbia	11	2012	2012	1081
	District of Columbia	11	2013	2013	1095
	District of Columbia	11	2014	2014	1116
	District of Columbia	11	2015	2015	1072
	District of Columbia	11	2016	2016	1044
	District of Columbia	11	2017	2017	1031
	District of Columbia	11	2018	2018	1070
	District of Columbia	11	2019	2019	1025
	Florida	12	1999	1999	38478
	Florida	12	2000	2000	39183
	Florida	12	2001	2001	39090
	Florida	12	2002	2002	39140
	Florida	12	2003	2003	39404
	Florida	12	2004	2004	39840
	Florida	12	2005	2005	40592
	Florida	12	2006	2006	40415
	Florida	12	2007	2007	40088
	Florida	12	2008	2008	40814
	Florida	12	2009	2009	40932
	Florida	12	2010	2010	41467
	Florida	12	2011	2011	41681
	Florida	12	2012	2012	42188
	Florida	12	2013	2013	42735
	Florida	12	2014	2014	43212
	Florida	12	2015	2015	44027
	Florida	12	2016	2016	44266
	Florida	12	2017	2017	45131
	Florida	12	2018	2018	45281
	Florida	12	2019	2019	45583
	Georgia	13	1999	1999	13225
	Georgia	13	2000	2000	13690
	Georgia	13	2001	2001	13818
	Georgia	13	2002	2002	13975
	Georgia	13	2003	2003	14032
	Georgia	13	2004	2004	14313
	Georgia	13	2005	2005	14358
	Georgia	13	2006	2006	14474
	Georgia	13	2007	2007	14983
	Georgia	13	2008	2008	14621
	Georgia	13	2009	2009	15143
	Georgia	13	2010	2010	15435
	Georgia	13	2011	2011	15602
	Georgia	13	2012	2012	16021
	Georgia	13	2013	2013	16417
	Georgia	13	2014	2014	16684
	Georgia	13	2015	2015	16945
	Georgia	13	2016	2016	17184
	Georgia	13	2017	2017	17135
	Georgia	13	2018	2018	17397
	Georgia	13	2019	2019	17756
	Hawaii	15	1999	1999	1916
	Hawaii	15	2000	2000	1943
	Hawaii	15	2001	2001	2024
	Hawaii	15	2002	2002	1945
	Hawaii	15	2003	2003	2133
	Hawaii	15	2004	2004	2088
	Hawaii	15	2005	2005	2169
	Hawaii	15	2006	2006	2171
	Hawaii	15	2007	2007	2214
	Hawaii	15	2008	2008	2194
	Hawaii	15	2009	2009	2244
	Hawaii	15	2010	2010	2266
	Hawaii	15	2011	2011	2278
	Hawaii	15	2012	2012	2284
	Hawaii	15	2013	2013	2332
	Hawaii	15	2014	2014	2493
	Hawaii	15	2015	2015	2462
	Hawaii	15	2016	2016	2401
	Hawaii	15	2017	2017	2456
	Hawaii	15	2018	2018	2405
	Hawaii	15	2019	2019	2500
	Idaho	16	1999	1999	2162
	Idaho	16	2000	2000	2128
	Idaho	16	2001	2001	2093
	Idaho	16	2002	2002	2138
	Idaho	16	2003	2003	2321
	Idaho	16	2004	2004	2227
	Idaho	16	2005	2005	2368
	Idaho	16	2006	2006	2306
	Idaho	16	2007	2007	2405
	Idaho	16	2008	2008	2511
	Idaho	16	2009	2009	2458
	Idaho	16	2010	2010	2530
	Idaho	16	2011	2011	2573
	Idaho	16	2012	2012	2572
	Idaho	16	2013	2013	2707
	Idaho	16	2014	2014	2795
	Idaho	16	2015	2015	2849
	Idaho	16	2016	2016	2884
	Idaho	16	2017	2017	3020
	Idaho	16	2018	2018	3049
	Idaho	16	2019	2019	2928
	Illinois	17	1999	1999	25024
