Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	979
	Alabama	1	2000	2000	939
	Alabama	1	2001	2001	974
	Alabama	1	2002	2002	1032
	Alabama	1	2003	2003	1062
	Alabama	1	2004	2004	1049
	Alabama	1	2005	2005	1036
	Alabama	1	2006	2006	1104
	Alabama	1	2007	2007	1051
	Alabama	1	2008	2008	1107
	Alabama	1	2009	2009	1180
	Alabama	1	2010	2010	1184
	Alabama	1	2011	2011	1047
	Alabama	1	2012	2012	1035
	Alabama	1	2013	2013	1057
	Alabama	1	2014	2014	1011
	Alabama	1	2015	2015	1040
	Alabama	1	2016	2016	1012
	Alabama	1	2017	2017	980
	Alabama	1	2018	2018	1037
	Alabama	1	2019	2019	1007
	Alaska	2	1999	1999	34
	Alaska	2	2000	2000	30
	Alaska	2	2001	2001	24
	Alaska	2	2002	2002	21
	Alaska	2	2003	2003	28
	Alaska	2	2004	2004	23
	Alaska	2	2005	2005	38
	Alaska	2	2006	2006	44
	Alaska	2	2007	2007	40
	Alaska	2	2008	2008	50
	Alaska	2	2009	2009	47
	Alaska	2	2010	2010	56
	Alaska	2	2011	2011	53
	Alaska	2	2012	2012	44
	Alaska	2	2013	2013	49
	Alaska	2	2014	2014	45
	Alaska	2	2015	2015	50
	Alaska	2	2016	2016	53
	Alaska	2	2017	2017	54
	Alaska	2	2018	2018	46
	Alaska	2	2019	2019	62
	Arizona	4	1999	1999	544
	Arizona	4	2000	2000	614
	Arizona	4	2001	2001	644
	Arizona	4	2002	2002	622
	Arizona	4	2003	2003	563
	Arizona	4	2004	2004	634
	Arizona	4	2005	2005	608
	Arizona	4	2006	2006	565
	Arizona	4	2007	2007	528
	Arizona	4	2008	2008	503
	Arizona	4	2009	2009	546
	Arizona	4	2010	2010	537
	Arizona	4	2011	2011	395
	Arizona	4	2012	2012	414
	Arizona	4	2013	2013	374
	Arizona	4	2014	2014	325
	Arizona	4	2015	2015	458
	Arizona	4	2016	2016	487
	Arizona	4	2017	2017	540
	Arizona	4	2018	2018	681
	Arizona	4	2019	2019	760
	Arkansas	5	1999	1999	458
	Arkansas	5	2000	2000	500
	Arkansas	5	2001	2001	521
	Arkansas	5	2002	2002	601
	Arkansas	5	2003	2003	526
	Arkansas	5	2004	2004	562
	Arkansas	5	2005	2005	624
	Arkansas	5	2006	2006	616
	Arkansas	5	2007	2007	666
