Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	606
	Alabama	1	2000	2000	569
	Alabama	1	2001	2001	601
	Alabama	1	2002	2002	568
	Alabama	1	2003	2003	568
	Alabama	1	2004	2004	605
	Alabama	1	2005	2005	637
	Alabama	1	2006	2006	580
	Alabama	1	2007	2007	682
	Alabama	1	2008	2008	682
	Alabama	1	2009	2009	720
	Alabama	1	2010	2010	739
	Alabama	1	2011	2011	751
	Alabama	1	2012	2012	783
	Alabama	1	2013	2013	784
	Alabama	1	2014	2014	808
	Alabama	1	2015	2015	880
	Alabama	1	2016	2016	920
	Alabama	1	2017	2017	962
	Alabama	1	2018	2018	960
	Alabama	1	2019	2019	931
	Alaska	2	1999	1999	27
	Alaska	2	2000	2000	19
	Alaska	2	2001	2001	28
	Alaska	2	2002	2002	34
	Alaska	2	2003	2003	32
	Alaska	2	2004	2004	41
	Alaska	2	2005	2005	51
	Alaska	2	2006	2006	48
	Alaska	2	2007	2007	49
	Alaska	2	2008	2008	42
	Alaska	2	2009	2009	49
	Alaska	2	2010	2010	46
	Alaska	2	2011	2011	58
	Alaska	2	2012	2012	35
	Alaska	2	2013	2013	45
	Alaska	2	2014	2014	41
	Alaska	2	2015	2015	52
	Alaska	2	2016	2016	57
	Alaska	2	2017	2017	51
	Alaska	2	2018	2018	68
	Alaska	2	2019	2019	59
	Arizona	4	1999	1999	414
	Arizona	4	2000	2000	400
	Arizona	4	2001	2001	489
	Arizona	4	2002	2002	411
	Arizona	4	2003	2003	420
	Arizona	4	2004	2004	466
	Arizona	4	2005	2005	481
	Arizona	4	2006	2006	525
	Arizona	4	2007	2007	458
	Arizona	4	2008	2008	483
	Arizona	4	2009	2009	545
	Arizona	4	2010	2010	517
	Arizona	4	2011	2011	535
	Arizona	4	2012	2012	503
	Arizona	4	2013	2013	523
	Arizona	4	2014	2014	564
	Arizona	4	2015	2015	609
	Arizona	4	2016	2016	639
	Arizona	4	2017	2017	717
	Arizona	4	2018	2018	912
	Arizona	4	2019	2019	882
	Arkansas	5	1999	1999	302
	Arkansas	5	2000	2000	326
	Arkansas	5	2001	2001	335
	Arkansas	5	2002	2002	318
	Arkansas	5	2003	2003	283
	Arkansas	5	2004	2004	263
	Arkansas	5	2005	2005	259
	Arkansas	5	2006	2006	281
	Arkansas	5	2007	2007	313
	Arkansas	5	2008	2008	317
	Arkansas	5	2009	2009	298
	Arkansas	5	2010	2010	332
	Arkansas	5	2011	2011	337
	Arkansas	5	2012	2012	328
	Arkansas	5	2013	2013	389
	Arkansas	5	2014	2014	421
	Arkansas	5	2015	2015	381
	Arkansas	5	2016	2016	406
	Arkansas	5	2017	2017	397
	Arkansas	5	2018	2018	410
	Arkansas	5	2019	2019	453
	California	6	1999	1999	2006
	California	6	2000	2000	1928
	California	6	2001	2001	1880
	California	6	2002	2002	1776
	California	6	2003	2003	1919
	California	6	2004	2004	2079
	California	6	2005	2005	2108
	California	6	2006	2006	2169
	California	6	2007	2007	2217
	California	6	2008	2008	2259
	California	6	2009	2009	2363
	California	6	2010	2010	2272
	California	6	2011	2011	2439
	California	6	2012	2012	2494
	California	6	2013	2013	2592
	California	6	2014	2014	2521
	California	6	2015	2015	2594
	California	6	2016	2016	2749
	California	6	2017	2017	2927
