Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	691
	Alabama	1	2000	2000	775
	Alabama	1	2001	2001	771
	Alabama	1	2002	2002	765
	Alabama	1	2003	2003	854
	Alabama	1	2004	2004	756
	Alabama	1	2005	2005	848
	Alabama	1	2006	2006	836
	Alabama	1	2007	2007	769
	Alabama	1	2008	2008	899
	Alabama	1	2009	2009	866
	Alabama	1	2010	2010	869
	Alabama	1	2011	2011	912
	Alabama	1	2012	2012	895
	Alabama	1	2013	2013	965
	Alabama	1	2014	2014	1027
	Alabama	1	2015	2015	1046
	Alabama	1	2016	2016	1025
	Alabama	1	2017	2017	1036
	Alabama	1	2018	2018	1024
	Alabama	1	2019	2019	1034
	Alaska	2	1999	1999	27
	Alaska	2	2000	2000	17
	Alaska	2	2001	2001	25
	Alaska	2	2002	2002	25
	Alaska	2	2003	2003	22
	Alaska	2	2004	2004	19
	Alaska	2	2005	2005	27
	Alaska	2	2006	2006	25
	Alaska	2	2007	2007	33
	Alaska	2	2008	2008	23
	Alaska	2	2009	2009	25
	Alaska	2	2010	2010	36
	Alaska	2	2011	2011	33
	Alaska	2	2012	2012	44
	Alaska	2	2013	2013	37
	Alaska	2	2014	2014	43
	Alaska	2	2015	2015	37
	Alaska	2	2016	2016	47
	Alaska	2	2017	2017	46
	Alaska	2	2018	2018	43
	Alaska	2	2019	2019	54
	Arizona	4	1999	1999	346
	Arizona	4	2000	2000	345
	Arizona	4	2001	2001	383
	Arizona	4	2002	2002	461
	Arizona	4	2003	2003	472
	Arizona	4	2004	2004	456
	Arizona	4	2005	2005	505
	Arizona	4	2006	2006	557
	Arizona	4	2007	2007	568
	Arizona	4	2008	2008	546
	Arizona	4	2009	2009	549
	Arizona	4	2010	2010	446
	Arizona	4	2011	2011	340
	Arizona	4	2012	2012	325
	Arizona	4	2013	2013	370
	Arizona	4	2014	2014	371
	Arizona	4	2015	2015	444
	Arizona	4	2016	2016	509
	Arizona	4	2017	2017	468
	Arizona	4	2018	2018	384
	Arizona	4	2019	2019	341
	Arkansas	5	1999	1999	475
	Arkansas	5	2000	2000	433
	Arkansas	5	2001	2001	499
	Arkansas	5	2002	2002	502
	Arkansas	5	2003	2003	501
	Arkansas	5	2004	2004	470
	Arkansas	5	2005	2005	518
	Arkansas	5	2006	2006	499
	Arkansas	5	2007	2007	461
	Arkansas	5	2008	2008	510
	Arkansas	5	2009	2009	523
	Arkansas	5	2010	2010	492
	Arkansas	5	2011	2011	514
	Arkansas	5	2012	2012	516
	Arkansas	5	2013	2013	529
	Arkansas	5	2014	2014	550
	Arkansas	5	2015	2015	525
	Arkansas	5	2016	2016	455
	Arkansas	5	2017	2017	460
	Arkansas	5	2018	2018	503
	Arkansas	5	2019	2019	487
	California	6	1999	1999	756
	California	6	2000	2000	807
	California	6	2001	2001	854
	California	6	2002	2002	941
	California	6	2003	2003	978
	California	6	2004	2004	931
	California	6	2005	2005	1033
	California	6	2006	2006	1058
	California	6	2007	2007	1073
	California	6	2008	2008	1169
	California	6	2009	2009	1188
	California	6	2010	2010	1239
	California	6	2011	2011	1290
	California	6	2012	2012	1317
	California	6	2013	2013	1310
	California	6	2014	2014	1306
	California	6	2015	2015	1447
	California	6	2016	2016	1431
	California	6	2017	2017	1533
	California	6	2018	2018	1640
