Notes	State	State Code	Year	Year Code	Deaths
	Alabama	1	1999	1999	984
	Alabama	1	2000	2000	973
	Alabama	1	2001	2001	976
	Alabama	1	2002	2002	1160
	Alabama	1	2003	2003	1457
	Alabama	1	2004	2004	1322
	Alabama	1	2005	2005	1307
	Alabama	1	2006	2006	1502
	Alabama	1	2007	2007	1371
	Alabama	1	2008	2008	1327
	Alabama	1	2009	2009	1316
	Alabama	1	2010	2010	1396
	Alabama	1	2011	2011	1754
	Alabama	1	2012	2012	1838
	Alabama	1	2013	2013	1578
	Alabama	1	2014	2014	1227
	Alabama	1	2015	2015	1151
	Alabama	1	2016	2016	1182
	Alabama	1	2017	2017	1113
	Alabama	1	2018	2018	976
	Alabama	1	2019	2019	991
	Alaska	2	1999	1999	42
	Alaska	2	2000	2000	35
	Alaska	2	2001	2001	36
	Alaska	2	2002	2002	31
	Alaska	2	2003	2003	47
	Alaska	2	2004	2004	38
	Alaska	2	2005	2005	35
	Alaska	2	2006	2006	49
	Alaska	2	2007	2007	58
	Alaska	2	2008	2008	49
	Alaska	2	2009	2009	85
	Alaska	2	2010	2010	58
	Alaska	2	2011	2011	49
	Alaska	2	2012	2012	62
	Alaska	2	2013	2013	62
	Alaska	2	2014	2014	78
	Alaska	2	2015	2015	72
	Alaska	2	2016	2016	53
	Alaska	2	2017	2017	56
	Alaska	2	2018	2018	67
	Alaska	2	2019	2019	50
	Arizona	4	1999	1999	243
	Arizona	4	2000	2000	386
	Arizona	4	2001	2001	351
	Arizona	4	2002	2002	360
	Arizona	4	2003	2003	420
	Arizona	4	2004	2004	530
	Arizona	4	2005	2005	665
	Arizona	4	2006	2006	787
	Arizona	4	2007	2007	782
	Arizona	4	2008	2008	973
	Arizona	4	2009	2009	980
	Arizona	4	2010	2010	857
	Arizona	4	2011	2011	968
	Arizona	4	2012	2012	1297
	Arizona	4	2013	2013	1115
	Arizona	4	2014	2014	1145
	Arizona	4	2015	2015	1160
	Arizona	4	2016	2016	1627
	Arizona	4	2017	2017	1199
	Arizona	4	2018	2018	1131
	Arizona	4	2019	2019	949
	Arkansas	5	1999	1999	964
	Arkansas	5	2000	2000	1078
	Arkansas	5	2001	2001	484
	Arkansas	5	2002	2002	313
	Arkansas	5	2003	2003	391
	Arkansas	5	2004	2004	357
	Arkansas	5	2005	2005	348
	Arkansas	5	2006	2006	405
	Arkansas	5	2007	2007	487
	Arkansas	5	2008	2008	541
	Arkansas	5	2009	2009	452
	Arkansas	5	2010	2010	448
	Arkansas	5	2011	2011	485
	Arkansas	5	2012	2012	510
	Arkansas	5	2013	2013	529
	Arkansas	5	2014	2014	417
	Arkansas	5	2015	2015	360
	Arkansas	5	2016	2016	388
	Arkansas	5	2017	2017	200
	Arkansas	5	2018	2018	211
	Arkansas	5	2019	2019	220
	California	6	1999	1999	1096
	California	6	2000	2000	3148
	California	6	2001	2001	6004
	California	6	2002	2002	1130
	California	6	2003	2003	1018
	California	6	2004	2004	944
	California	6	2005	2005	1037
	California	6	2006	2006	1091
	California	6	2007	2007	964
	California	6	2008	2008	1077
	California	6	2009	2009	942
	California	6	2010	2010	905
	California	6	2011	2011	975
	California	6	2012	2012	1417
